	protein	gene
BSU10880	Uncharacterized HTH-type transcriptional regulator YisV	yisV BSU10880
BSU10890	Uncharacterized protein YisX	yisX BSU10890
BSU10900	AB hydrolase superfamily protein YisY (EC 3.-.-.-)	yisY BSU10900
BSU10910	Probable adenylyl-sulfate kinase (EC 2.7.1.25) (APS kinase) (ATP adenosine-5'-phosphosulfate 3'-phosphotransferase) (Adenosine-5'-phosphosulfate kinase)	yisZ BSU10910
BSU10920	Probable sulfate adenylyltransferase (EC 2.7.7.4) (ATP-sulfurylase) (Sulfate adenylate transferase) (SAT)	yitA BSU10920
BSU10930	Adenosine 5'-phosphosulfate reductase 2 (APS reductase 2) (EC 1.8.4.10) (5'-adenylylsulfate reductase 2) (Thioredoxin-dependent 5'-adenylylsulfate reductase 2)	cysH1 yitB BSU10930
BSU10940	Probable 2-phosphosulfolactate phosphatase (EC 3.1.3.71)	comB yitC BSU10940
BSU10950	Phosphosulfolactate synthase (EC 4.4.1.19) ((2R)-phospho-3-sulfolactate synthase) (PSL synthase)	yitD BSU10950
BSU10960	UPF0750 membrane protein YitE	yitE BSU10960
BSU10970	Putative isomerase YitF (EC 5.-.-.-)	yitF BSU10970
BSU10980	Uncharacterized MFS-type transporter YitG	yitG BSU10980
BSU10990	Uncharacterized N-acetyltransferase YitH (EC 2.3.1.-)	yitH BSU10990
BSU11000	Uncharacterized N-acetyltransferase YitI (EC 2.3.1.-)	yitI BSU11000
BSU11010	Bifunctional homocysteine S-methyltransferase/5,10-methylenetetrahydrofolate reductase [Includes: Homocysteine S-methyltransferase (EC 2.1.1.10) (S-methylmethionine:homocysteine methyltransferase); 5,10-methylenetetrahydrofolate reductase (EC 1.5.1.20)]	yitJ BSU11010
BSU11020	UPF0234 protein yitk	yitK BSU11020
BSU11030	Uncharacterized protein YitL	yitL BSU11030
BSU11040	Uncharacterized protein YitM	yitM BSU11040
BSU11055	Uncharacterized protein YitO	yitO BSU11055 BSU11050/BSU11060
BSU11070	Uncharacterized protein YitP	yitP BSU11070
BSU11079	Putative DNA-binding protein YizB	yizB BSU11079
BSU11080	Uncharacterized protein YitQ	yitQ BSU11080
BSU11090	Uncharacterized protein YitR	yitR BSU11090
BSU11100	Neutral protease B (EC 3.4.24.-)	nprB BSU11100
BSU11110	DegV domain-containing protein YitS	yitS BSU11110
BSU11120	UPF0750 membrane protein YitT	yitT yuxA BSU11120
BSU11130	Intracellular proteinase inhibitor (BsuPI)	ipi BSU11130
BSU11139	Uncharacterized protein YizC	yizC BSU11139
BSU11140	5-amino-6-(5-phospho-D-ribitylamino)uracil phosphatase YitU (EC 3.1.3.104)	yitU BSU11140
BSU11150	Putative esterase YitV (EC 3.1.-.-)	yitV BSU11150
BSU11160	Fe-S protein maturation auxiliary factor YitW (Iron-sulfur cluster assembly factor YitW)	yitW BSU11160
BSU11170	Uncharacterized FAD-linked oxidoreductase YitY (EC 1.-.-.-)	yitY BSU11170
BSU11180	Uncharacterized MFS-type transporter YitZ	yitZ BSU11180
BSU11190	N-acetyl-gamma-glutamyl-phosphate reductase (AGPR) (EC 1.2.1.38) (N-acetyl-glutamate semialdehyde dehydrogenase) (NAGSA dehydrogenase)	argC BSU11190
BSU11200	Arginine biosynthesis bifunctional protein ArgJ [Cleaved into: Arginine biosynthesis bifunctional protein ArgJ alpha chain; Arginine biosynthesis bifunctional protein ArgJ beta chain] [Includes: Glutamate N-acetyltransferase (EC 2.3.1.35) (Ornithine acetyltransferase) (OATase) (Ornithine transacetylase); Amino-acid acetyltransferase (EC 2.3.1.1) (N-acetylglutamate synthase) (AGSase)]	argJ BSU11200
BSU11210	Acetylglutamate kinase (EC 2.7.2.8) (N-acetyl-L-glutamate 5-phosphotransferase) (NAG kinase) (NAGK)	argB BSU11210
BSU11220	Acetylornithine aminotransferase (ACOAT) (EC 2.6.1.11)	argD BSU11220
BSU11230	Carbamoyl-phosphate synthase arginine-specific small chain (EC 6.3.5.5) (Carbamoyl-phosphate synthetase glutamine chain)	carA cpaA BSU11230
BSU11240	Carbamoyl-phosphate synthase arginine-specific large chain (EC 6.3.5.5) (Carbamoyl-phosphate synthetase ammonia chain)	carB cpaB BSU11240
BSU11250	Ornithine carbamoyltransferase (OTCase) (EC 2.1.3.3)	argF BSU11250
BSU11260	Uncharacterized protein YjzC	yjzC BSU11260
BSU11270	Uncharacterized membrane protein YjzD	yjzD BSU11270
BSU11280	Uncharacterized protein YjaU	yjaU BSU11280
BSU11290	Uncharacterized protein YjaV	yjaV BSU11290
BSU11300	Transcriptional activator protein med	med BSU11300
BSU11310	ComG operon repressor	comZ BSU11310
BSU11320	Uncharacterized protein YjzB	yjzB BSU11320
BSU11330	Beta-ketoacyl-[acyl-carrier-protein] synthase III 1 (Beta-ketoacyl-ACP synthase III 1) (KAS III 1) (EC 2.3.1.180) (EC 2.3.1.300) (3-oxoacyl-[acyl-carrier-protein] synthase 3 1) (3-oxoacyl-[acyl-carrier-protein] synthase III 1) (Branched-chain beta-ketoacyl-[acyl-carrier-protein] synthase 1) (bFabH1)	fabHA fabH fabH1 yjaX BSU11330
BSU11340	3-oxoacyl-[acyl-carrier-protein] synthase 2 (EC 2.3.1.179) (3-oxoacyl-[acyl-carrier-protein] synthase II) (Beta-ketoacyl-ACP synthase II) (KAS II)	fabF yjaY BSU11340
BSU11350	Uncharacterized protein YjaZ	yjaZ BSU11350
BSU11360	Oligopeptide transport ATP-binding protein AppD	appD BSU11360
BSU11370	Oligopeptide transport ATP-binding protein AppF	appF BSU11370
BSU11381	Oligopeptide-binding protein AppA	appA BSU11381/BSU11382 BSU11380
BSU11382	Oligopeptide-binding protein AppA	appA BSU11381/BSU11382 BSU11380
BSU11390	Oligopeptide transport system permease protein AppB	appB BSU11390
BSU11400	Oligopeptide transport system permease protein AppC	appC BSU11400
BSU11410	UPF0736 protein YjbA	yjbA BSU11410
BSU11420	Tryptophan--tRNA ligase (EC 6.1.1.2) (Tryptophanyl-tRNA synthetase) (TrpRS)	trpS BSU11420
BSU11430	Oligopeptide-binding protein OppA (Stage 0 sporulation protein KA)	oppA spo0KA BSU11430
BSU11440	Oligopeptide transport system permease protein OppB (Stage 0 sporulation protein KB)	oppB spo0KB BSU11440
BSU11450	Oligopeptide transport system permease protein OppC (Stage 0 sporulation protein KC)	oppC spo0KC BSU11450
BSU11460	Oligopeptide transport ATP-binding protein OppD (Stage 0 sporulation protein KD)	oppD spo0KD BSU11460
BSU11470	Oligopeptide transport ATP-binding protein OppF (Stage 0 sporulation protein KE)	oppF spo0KE BSU11470
BSU11480	Uncharacterized MFS-type transporter YjbB	yjbB BSU11480
BSU11490	Putative acetyltransferase YjbC (EC 2.3.1.-)	yjbC BSU11490
BSU11500	Global transcriptional regulator Spx (Redox-responsive transcription factor Spx) (Suppressor of clpP and clpX) (Spx)	spx spxA yjbD BSU11500
BSU11510	Uncharacterized membrane protein YjbE	yjbE BSU11510
BSU11515	NA	NA
BSU11520	Adapter protein MecA 1	mecA BSU11520
BSU11525	NA	NA
BSU11530	Competence protein CoiA	coiA yjbF BSU11530
BSU11540	Oligoendopeptidase F homolog (EC 3.4.24.-)	yjbG BSU11540
BSU11549	Uncharacterized membrane protein YizD	yizD BSU11549
BSU11550	ClpXP adapter protein SpxH	spxH yjbH BSU11550
BSU11560	Group 2 truncated hemoglobin YjbI (Truncated Hb) (trHbO) (Hemoglobin-like protein YjbI) (Truncated BHb)	yjbI BSU11560
BSU11570	Putative murein lytic transglycosylase YjbJ (EC 4.-.-.-)	yjbJ BSU11570
BSU11580	Putative triphosphatase YjbK (EC 3.6.1.-)	yjbK BSU11580
BSU11590	UPF0738 protein YjbL	yjbL BSU11590
BSU11600	GTP pyrophosphokinase YjbM (EC 2.7.6.5) ((p)ppGpp synthase YjbM) (Small alarmone synthase 1) (SAS 1)	yjbM BSU11600
BSU11610	NAD kinase 1 (EC 2.7.1.23) (ATP-dependent NAD kinase) (Poly(P)-dependent NAD kinase) (PPNK)	ppnKA nadF yjbN BSU11610
BSU11620	Uncharacterized RNA pseudouridine synthase YjbO (EC 5.4.99.-) (RNA pseudouridylate synthase) (RNA-uridine isomerase)	yjbO BSU11620
BSU11630	Bis(5'-nucleosyl)-tetraphosphatase PrpE [asymmetrical] (EC 3.6.1.17) (Ap4A hydrolase) (Diadenosine 5',5'''-P1,P4-tetraphosphate asymmetrical hydrolase) (Diadenosine tetraphosphatase)	prpE yjbP BSU11630
BSU11640	Putative Na(+)/H(+) antiporter YjbQ	yjbQ BSU11640
BSU11650	Aminopyrimidine aminohydrolase (EC 3.5.99.2) (4-amino-5-aminomethyl-2-methylpyrimidine hydrolase) (Thiaminase II)	tenA BSU11650
BSU11660	Thiazole tautomerase (EC 5.3.99.10)	tenI BSU11660
BSU11670	Glycine oxidase (GO) (EC 1.4.3.19)	thiO goxB yjbR BSU11670
BSU11680	Sulfur carrier protein ThiS (Thiamine biosynthesis protein ThiS)	thiS yjbS BSU11680
BSU11690	Thiazole synthase (EC 2.8.1.10)	thiG yjbT BSU11690
BSU11700	Sulfur carrier protein ThiS adenylyltransferase (EC 2.7.7.73)	thiF yjbU BSU11700
BSU11710	Hydroxymethylpyrimidine/phosphomethylpyrimidine kinase (EC 2.7.1.49) (EC 2.7.4.7) (Hydroxymethylpyrimidine kinase) (HMP kinase) (Hydroxymethylpyrimidine phosphate kinase) (HMP-P kinase) (HMP-phosphate kinase) (HMPP kinase)	thiD yjbV BSU11710
BSU11720	Enoyl-[acyl-carrier-protein] reductase [NADH] FabI (ENR) (EC 1.3.1.9) (Cold shock-induced protein 15) (CSI15) (NADH-dependent enoyl-ACP reductase) (Vegetative protein 241) (VEG241)	fabI yjbW BSU11720
BSU11730	Spore coat protein O	cotO yjbX BSU11730
BSU11740	Spore coat protein Z	cotZ BSU11740
BSU11750	Spore coat protein Y	cotY BSU11750
BSU11760	Spore coat protein X	cotX BSU11760
BSU11770	Spore coat protein W	cotW BSU11770
BSU11780	Spore coat protein V	cotV BSU11780
BSU11790	Sporulation protein YjcA	yjcA BSU11790
BSU11798	NA	NA
BSU11799	Uncharacterized protein YjzK	yjzK BSU11799
BSU11800	NA	NA
BSU11809	Sporulation protein YjcZ	yjcZ BSU11809
BSU11810	Sporulation-specific transcription factor SpoVIF (Stage VI sporulation protein F)	spoVIF yjcC BSU11810
BSU11820	Putative ATP-dependent DNA helicase YjcD (EC 3.6.4.12)	yjcD BSU11820
BSU11839	Uncharacterized protein YjzE	yjzE BSU11839
BSU11840	Uncharacterized N-acetyltransferase YjcF (EC 2.3.1.-)	yjcF BSU11840
BSU11850	Putative phosphoesterase YjcG (EC 3.1.-.-)	yjcG BSU11850
BSU11860	Uncharacterized protein YjcH	yjcH BSU11860
BSU11870	Cystathionine gamma-synthase/O-acetylhomoserine (thiol)-lyase (CGS/OAH thiolyase) (EC 2.5.1.-) (O-acetylhomoserine sulfhydrylase) (OAH sulfhydrylase)	metI yjcI BSU11870
BSU11880	Cystathionine beta-lyase MetC (CBL) (EC 4.4.1.13) (Beta-cystathionase MetC) (Cysteine lyase MetC) (Cysteine-S-conjugate beta-lyase MetC)	metC yjcJ BSU11880
BSU11890	Putative [ribosomal protein S5]-alanine N-acetyltransferase (EC 2.3.1.267)	yjcK BSU11890
BSU11900	Uncharacterized membrane protein YjcL	yjcL BSU11900
BSU11910	Uncharacterized protein YjcM	yjcM BSU11910
BSU11920	Uncharacterized protein YjcN	yjcN BSU11920
BSU11928	Uncharacterized protein YjzF	yjzF BSU11928
BSU11929	Uncharacterized protein YjzG	yjzG BSU11929
BSU11930	Uncharacterized protein YjcO	yjcO BSU11930
BSU11940	Uncharacterized protein YjcP	yjcP BSU11940
BSU11950	Uncharacterized protein YjcQ	yjcQ BSU11950
BSU11960	Uncharacterized protein YjcR	yjcR BSU11960
BSU11970	Uncharacterized protein YjcS	yjcS BSU11970
BSU11980	Uncharacterized oxidoreductase YjdA (EC 1.-.-.-)	yjdA BSU11980
BSU11990	Uncharacterized protein YjdB	yjdB BSU11990
BSU12000	Transcriptional regulator ManR (Mannose operon transcriptional activator) [Includes: Putative phosphotransferase enzyme IIB component (EC 2.7.1.191) (Putative PTS system EIIB component); Putative phosphotransferase enzyme IIA component (Putative PTS system EIIA component)]	manR BSU12000
BSU12010	PTS system mannose-specific EIIBCA component (EIIBCA-Man) (EII-Man) [Includes: Mannose-specific phosphotransferase enzyme IIB component (EC 2.7.1.191) (PTS system mannose-specific EIIB component); Mannose permease IIC component (PTS system mannose-specific EIIC component); Mannose-specific phosphotransferase enzyme IIA component (PTS system mannose-specific EIIA component)]	manP yjdD BSU12010
BSU12020	Mannose-6-phosphate isomerase ManA (EC 5.3.1.8) (Phosphohexomutase) (Phosphomannose isomerase) (PMI)	manA pmi yjdE BSU12020
BSU12030	Uncharacterized protein YjdF	yjdF BSU12030
BSU12040	Uncharacterized N-acetyltransferase YjdG (EC 2.3.1.-)	yjdG BSU12040
BSU12050	Uncharacterized protein YjdH	yjdH BSU12050
BSU12060	Putative Cys-tRNA(Pro)/Cys-tRNA(Cys) deacylase YjdI (EC 4.2.-.-)	yjdI BSU12060
BSU12069	Uncharacterized protein YjzH	yjzH BSU12069
BSU12070	Uncharacterized protein YjdJ	yjdJ BSU12070
BSU12080	Protoheme IX farnesyltransferase 1 (EC 2.5.1.141) (Heme B farnesyltransferase 1) (Heme O synthase 1)	ctaB1 ctaO BSU12080
BSU12090	Spore coat protein T	cotT BSU12090
BSU12100	Peptidoglycan-N-acetylmuramic acid deacetylase PdaC (Peptidoglycan MurNAc deacetylase) (EC 3.5.1.-) (Polysaccharide deacetylase PdaC)	pdaC yjeA BSU12100
BSU12110	Uncharacterized protein YjfA	yjfA BSU12110
BSU12120	Uncharacterized protein YjfB	yjfB BSU12120
BSU12130	Uncharacterized protein YjfC	yjfC BSU12130
BSU12140	Uncharacterized membrane protein YjgA	yjgA BSU12140
BSU12150	Uncharacterized protein YjgB	yjgB BSU12150
BSU12160	Probable oxidoreductase YjgC (EC 1.-.-.-)	yjgC BSU12160
BSU12170	Uncharacterized protein YjgD	yjgD BSU12170
BSU12180	Uncharacterized lipoprotein YjhA	yjhA BSU12180
BSU12190	Putative ADP-ribose pyrophosphatase YjhB (EC 3.6.1.-)	yjhB BSU12190
BSU12200	Uncharacterized protein YjiA	yjiA BSU12200
BSU12210	Putative cytochrome P450 YjiB (EC 1.14.-.-)	yjiB BSU12210
BSU12220	NDP-glycosyltransferase YjiC (EC 2.4.1.384) (UDP-glycosyltransferase YjiC)	yjiC BSU12220
BSU12229	Uncharacterized protein YjzI	yjzI BSU12229
BSU12230	Uncharacterized protein YjjA	yjjA BSU12230
BSU12240	UPF0014 membrane protein YjkA	yjkA BSU12240
BSU12250	Putative ABC transporter ATP-binding protein YjkB	yjkB BSU12250
BSU12260	Uncharacterized protein YjlA	yjlA BSU12260
BSU12270	Uncharacterized protein YjlB	yjlB BSU12270
BSU12280	Uncharacterized protein YjlC	yjlC BSU12280
BSU12290	NADH dehydrogenase-like protein YjlD (EC 1.6.99.-) (Glucose starvation-inducible protein 5) (GSI5)	yjlD BSU12290
BSU12300	Uronate isomerase (EC 5.3.1.12) (Glucuronate isomerase) (Uronic isomerase)	uxaC yjmA BSU12300
BSU12310	Uncharacterized symporter YjmB	yjmB BSU12310
BSU12320	Uncharacterized oxidoreductase YjmC (EC 1.1.1.-)	yjmC BSU12320
BSU12330	Uncharacterized zinc-type alcohol dehydrogenase-like protein YjmD (EC 1.-.-.-)	yjmD BSU12330
BSU12340	Mannonate dehydratase (EC 4.2.1.8) (D-mannonate hydro-lyase)	uxuA yjmE BSU12340
BSU12350	Uncharacterized oxidoreductase UxuB (EC 1.-.-.-)	uxuB yjmF BSU12350
BSU12360	Hexuronate transporter (Aldohexuronate transport system)	exuT yjmG BSU12360
BSU12370	Probable HTH-type transcriptional repressor ExuR (Probable galacturonate locus repressor)	exuR yjmH BSU12370
BSU12380	Altronate oxidoreductase (EC 1.1.1.58) (Tagaturonate dehydrogenase) (Tagaturonate reductase)	uxaB yjmI BSU12380
BSU12390	Altronate dehydratase (EC 4.2.1.7) (D-altronate hydro-lyase)	uxaA yjmJ BSU12390
BSU12400	Probable membrane transporter protein YjnA	yjnA BSU12400
BSU12410	Uncharacterized protein YjoA	yjoA BSU12410
BSU12420	Uncharacterized ATPase YjoB (EC 3.-.-.-)	yjoB BSU12420
BSU12430	Response regulator aspartate phosphatase A (EC 3.1.-.-) (Glucose starvation-inducible protein A) (Stage 0 sporulation protein L)	rapA gsiAA spo0L BSU12430
BSU12440	Phosphatase RapA inhibitor (Phosphatase regulator A)	phrA gsiAB BSU12440
BSU12450	Uncharacterized protein YjpA	yjpA BSU12450
BSU12460	N-acetylmuramoyl-L-alanine amidase XlyB (EC 3.5.1.28) (Autolysin) (Cell wall hydrolase)	xlyB yjpB BSU12460
BSU12470	Uncharacterized protein YjqA	yjqA BSU12470
BSU12480	UPF0714 protein YjqB	yjqB BSU12480
BSU12490	Uncharacterized protein YjqC	yjqC BSU12490
BSU12500	Phage-like element PBSX protein XkdA	xkdA ykxA BSU12500
BSU12510	HTH-type transcriptional regulator Xre (Putative PBSX repressor)	xre BSU12510
BSU12519	Uncharacterized protein YjzJ	yjzJ BSU12519
BSU12520	Phage-like element PBSX protein XkdB	xkdB ykxB BSU12520
BSU12530	Phage-like element PBSX protein XkdC	xkdC ykxC BSU12530
BSU12539	Uncharacterized protein YkzK	ykzK BSU12539
BSU12540	Phage-like element PBSX protein XkdD	xkdD ykxD BSU12540
BSU12550	Phage-like element PBSX protein XtrA	xtrA BSU12550
BSU12560	Positive control factor	xpf pcf ykxE BSU12560
BSU12570	PBSX phage terminase small subunit	xtmA ykxF BSU12570
BSU12580	PBSX phage terminase large subunit	xtmB ykxG BSU12580
BSU12590	Phage-like element PBSX protein XkdE	xkdE BSU12590
BSU12600	Phage-like element PBSX protein XkdF	xkdF BSU12600
BSU12610	Putative prophage capsid protein XkdG (Phage-like element PBSX protein XkdG)	xkdG BSU12610
BSU12619	Uncharacterized protein YkzL	ykzL BSU12619
BSU12620	Phage-like element PBSX protein XkdH	xkdH BSU12620
BSU12630	Phage-like element PBSX protein XkdI	xkdI BSU12630
BSU12640	Phage-like element PBSX protein XkdJ	xkdJ BSU12640
BSU12649	Uncharacterized protein YkzM	ykzM BSU12649
BSU12650	Phage-like element PBSX protein XkdK	xkdK BSU12650
BSU12660	Phage-like element PBSX protein XkdM	xkdM BSU12660
BSU12671	NA	NA
BSU12672	Uncharacterized protein XkzB	xkzB BSU12672
BSU12680	Phage-like element PBSX protein XkdO	xkdO BSU12680
BSU12690	Phage-like element PBSX protein XkdP	xkdP BSU12690
BSU12700	Phage-like element PBSX protein XkdQ	xkdQ BSU12700
BSU12710	Phage-like element PBSX protein XkdR	xkdR BSU12710
BSU12720	Phage-like element PBSX protein XkdS	xkdS BSU12720
BSU12730	Phage-like element PBSX protein XkdT	xkdT BSU12730
BSU12740	Phage-like element PBSX protein XkdU	xkdU BSU12740
BSU12749	Uncharacterized protein XkzA	xkzA BSU12749
BSU12750	Phage-like element PBSX protein XkdV	xkdV BSU12750
BSU12760	Phage-like element PBSX protein XkdW	xkdW BSU12760
BSU12770	Phage-like element PBSX protein XkdX	xkdX BSU12770
BSU12780	Phage-like element PBSX protein XepA (Protein XkdY)	xepA xkdY BSU12780
BSU12790	Protein XhlA	xhlA BSU12790
BSU12800	Holin	xhlB xpaB BSU12800
BSU12810	N-acetylmuramoyl-L-alanine amidase XlyA (EC 3.5.1.28) (Autolysin) (Cell wall hydrolase)	xlyA BSU12810
BSU12815	NA	NA
BSU12820	Stage II sporulation protein SB (Antidote protein SpoIISB) (Antitoxin SpoIISB)	spoIISB BSU12820
BSU12830	Stage II sporulation protein SA (Killer protein SpoIISA) (Toxin SpoIISA)	spoIISA ykaC BSU12830
BSU12840	Probable low-affinity inorganic phosphate transporter	pit ykaB BSU12840
BSU12850	UPF0111 protein YkaA	ykaA BSU12850
BSU12860	Serine/threonine exchanger SteT	steT ykbA BSU12860
BSU12870	Putative ring-cleaving dioxygenase MhqA (EC 1.13.11.-)	mhqA ykcA BSU12870
BSU12875	NA	NA
BSU12880	Putative mannosyltransferase YkcB (EC 2.4.1.-)	ykcB BSU12880
BSU12890	Uncharacterized glycosyltransferase YkcC (EC 2.4.-.-)	ykcC BSU12890
BSU12900	Serine protease Do-like HtrA (EC 3.4.21.107) (HtrA-like serine protease)	htrA ykdA BSU12900
BSU12910	Pyrroline-5-carboxylate reductase 3 (P5C reductase 3) (P5CR 3) (EC 1.5.1.2) (PCA reductase 3)	proG ykeA yzcA BSU12910
BSU12920	D-aminopeptidase (EC 3.4.11.-)	dppA dciAA BSU12920
BSU12930	Dipeptide transport system permease protein DppB	dppB dciAB BSU12930
BSU12940	Dipeptide transport system permease protein DppC	dppC dciAC BSU12940
BSU12950	Dipeptide transport ATP-binding protein DppD (EC 7.4.2.9)	dppD dciAD BSU12950
BSU12960	Dipeptide-binding protein DppE	dppE dciAE BSU12960
BSU12970	Probable murein peptide carboxypeptidase (EC 3.4.16.-) (LD-carboxypeptidase)	ykfA BSU12970
BSU12980	L-Ala-D/L-Glu epimerase (AE epimerase) (AEE) (EC 5.1.1.20)	ykfB BSU12980
BSU12990	Gamma-D-glutamyl-L-lysine dipeptidyl-peptidase (EC 3.4.14.13) (Cell wall endopeptidase YkfC)	ykfC BSU12990
BSU13000	Putative oligopeptide transport ATP-binding protein YkfD (EC 7.4.2.-)	ykfD BSU13000
BSU13010	6-phosphogluconolactonase (EC 3.1.1.31)	pgl ykgB BSU13010
BSU13020	Uncharacterized protein YkgA (EC 3.5.3.-)	ykgA BSU13020
BSU13030	Uncharacterized acyl-CoA thioester hydrolase YkhA (EC 3.1.2.-)	ykhA BSU13030
BSU13040	Flavohemoprotein (Flavohemoglobin) (Hemoglobin-like protein) (Nitric oxide dioxygenase) (NO oxygenase) (NOD) (EC 1.14.12.17)	hmp ane3 ykiA BSU13040
BSU13050	Uncharacterized protein YkzH	ykzH BSU13050
BSU13060	UPF0702 transmembrane protein YkjA (ORF3)	ykjA BSU13060
BSU13070	Uncharacterized protein YkkA	ykkA BSU13070
BSU13080	Uncharacterized protein YkkB	ykkB BSU13080
BSU13090	Probable guanidinium efflux system subunit GdnC	gdnC ykkC BSU13090
BSU13100	Probable guanidinium efflux system subunit GdnD	gdnD ykkD BSU13100
BSU13110	Formyltetrahydrofolate deformylase (EC 3.5.1.10) (Formyl-FH(4) hydrolase)	purU ykkE BSU13110
BSU13120	Glutamate 5-kinase 1 (EC 2.7.2.11) (Gamma-glutamyl kinase 1) (GK 1)	proB BSU13120
BSU13130	Gamma-glutamyl phosphate reductase (GPR) (EC 1.2.1.41) (Glutamate-5-semialdehyde dehydrogenase) (Glutamyl-gamma-semialdehyde dehydrogenase) (GSA dehydrogenase)	proA BSU13130
BSU13140	Organic hydroperoxide resistance protein OhrA	ohrA yklA BSU13140
BSU13150	Organic hydroperoxide resistance transcriptional regulator	ohrR ykmA BSU13150
BSU13160	Organic hydroperoxide resistance protein OhrB (General stress protein 17o) (Gsp17o)	ohrB ykzA yzzE BSU13160
