Entry	Protein names	Gene Names
P39794	PTS system trehalose-specific EIIBC component (EIIBC-Tre) (EII-Tre) [Includes: Trehalose-specific phosphotransferase enzyme IIB component (EC 2.7.1.201) (PTS system trehalose-specific EIIB component); Trehalose permease IIC component (PTS system trehalose-specific EIIC component)]	treP treB BSU07800
P39795	Trehalose-6-phosphate hydrolase (EC 3.2.1.93) (Alpha,alpha-phosphotrehalase) (Phospho-alpha-(1-1)-glucosidase)	treA treC BSU07810
P39812	Glutamate synthase [NADPH] large chain (EC 1.4.1.13) (NADPH-GOGAT)	gltA BSU18450
P39813	DNA processing protein DprA (Protein Smf)	dprA smf BSU16110
P39814	DNA topoisomerase 1 (EC 5.6.2.1) (DNA topoisomerase I) (Omega-protein) (Relaxing enzyme) (Swivelase) (Untwisting enzyme)	topA topI BSU16120
P39816	Putative PTS system glucosamine-specific EIICBA component [Includes: Glucosamine permease IIC component (PTS system glucosamine-specific EIIC component); Glucosamine-specific phosphotransferase enzyme IIB component (EC 2.7.1.193) (PTS system glucosamine-specific EIIB component); Glucosamine-specific phosphotransferase enzyme IIA component (PTS system glucosamine-specific EIIA component)]	gamP ybfS yzfA BSU02350
P39817	Proton/glutamate-aspartate symporter (Proton/glutamate symport protein)	gltP BSU02340
P39822	Phosphatidylserine decarboxylase proenzyme (EC 4.1.1.65) [Cleaved into: Phosphatidylserine decarboxylase alpha chain; Phosphatidylserine decarboxylase beta chain]	psd BSU02290
P39847	Plipastatin synthase subunit C (EC 2.3.1.-) (Peptide synthase 3) [Includes: ATP-dependent glutamate adenylase 2 (GluA 2) (Glutamate activase 2); ATP-dependent alanine/valine adenylase (Ala/ValA) (Alanine/valine activase)]	ppsC pps3 BSU18320
P39914	Monothiol bacilliredoxin BrxC (Monothiol Brx-C) (Bacillithiol system redox-active protein YtxJ) (ORF2) (ORF3)	brxC ytxJ BSU29760 HIR78_17325
P40409	Iron-uptake system-binding protein	feuA BSU01630
P40762	HTH-type transcriptional regulator PchR (Pulcherriminic acid biosynthetis regulator)	pchR yvmB yzhA BSU35080
P40806	Polyketide synthase PksJ (PKS)	pksJ pksK BSU17180
P40872	Polyketide synthase PksM	pksM pksY BSU17200
P42068	Formimidoylglutamase (EC 3.5.3.8) (Formiminoglutamase) (Formiminoglutamate hydrolase) (N-formimino-L-glutamate formiminohydrolase)	hutG BSU39380 EE57C
P42084	Imidazolonepropionase (EC 3.5.2.7) (Imidazolone-5-propionate hydrolase)	hutI BSU39370 EE57B
P42085	Xanthine phosphoribosyltransferase (XPRTase) (EC 2.4.2.22)	xpt BSU22070
P42106	Quercetin 2,3-dioxygenase (Quercetinase) (EC 1.13.11.24) (Flavonol 2,4-dioxygenase)	qdoI yxaG BSU39980 S14G
P42234	Catalase-2 (EC 1.11.1.6)	katE katB BSU39050 N15D
P42252	Sec-independent protein translocase protein TatCd	tatC1 tatCd ycbT BSU02640
P42404	3-hexulose-6-phosphate isomerase (EC 5.3.1.27) (6-phospho-3-hexuloisomerase) (PHI)	hxlB yckF BSU03450
P42410	RsbT antagonist protein RsbS (Stressosome protein RsbS)	rsbS ycxS BSU04680
P42415	3D-(3,5/4)-trihydroxycyclohexane-1,2-dione hydrolase (THcHDO hydrolase) (EC 3.7.1.22)	iolD yxdD BSU39730 E83D
P42435	Nitrite reductase [NAD(P)H] (EC 1.7.1.4)	nasD nasBC nirB BSU03300
P42436	Assimilatory nitrite reductase [NAD(P)H] small subunit (EC 1.7.1.4)	nasE nasBD nirD BSU03290
P42923	50S ribosomal protein L10 (BL5) (Cold acclimatization protein) (CAP) (Vegetative protein 300) (VEG300)	rplJ BSU01040
P42956	PTS system mannitol-specific EIICB component (EIICB-Mtl) (EII-Mtl) [Includes: Mannitol permease IIC component (PTS system mannitol-specific EIIC component); Mannitol-specific phosphotransferase enzyme IIB component (EC 2.7.1.197) (PTS system mannitol-specific EIIB component)]	mtlA BSU03981 BSU03980
P42958	Probable tartrate dehydrogenase/decarboxylase (TDH) (EC 1.1.1.93) (EC 4.1.1.73) (D-malate dehydrogenase [decarboxylating]) (EC 1.1.1.83)	ycsA BSU04000
P42962	5-amino-6-(5-phospho-D-ribitylamino)uracil phosphatase YcsE (EC 3.1.3.104)	ycsE BSU04040
P42963	5-oxoprolinase subunit A (5-OPase subunit A) (EC 3.5.2.9) (5-oxoprolinase (ATP-hydrolyzing) subunit A)	pxpA ycsF BSU04050
P42974	NADH dehydrogenase (EC 7.1.1.2) (Alkyl hydroperoxide reductase)	ahpF ndh BSU40100
P42977	CCA-adding enzyme (EC 2.7.7.72) (CCA tRNA nucleotidyltransferase) (tRNA CCA-pyrophosphorylase) (tRNA adenylyl-/cytidylyl- transferase) (tRNA nucleotidyltransferase) (tRNA-NT)	cca papS ypjI BSU22450
P45745	Dimodular nonribosomal peptide synthase (EC 6.2.1.66) (EC 6.2.1.70) (Glycine--[glycyl-carrier protein] ligase) (L-threonine--[L-threonyl-carrier protein] ligase)	dhbF BSU31960
P45858	Citrate/2-methylcitrate synthase (EC 2.3.3.-) (EC 2.3.3.16) (2-methylcitrate synthase) (2-MCS) (MCS) (Citrate synthase)	mmgD yqiO BSU24140
P46321	Probable licABCH operon regulator [Includes: Putative phosphotransferase enzyme IIB component (EC 2.7.1.-) (Putative PTS system EIIB component); Putative phosphotransferase enzyme IIA component (Putative PTS system EIIA component)]	licR celR BSU38600
P46336	Aldo-keto reductase IolS (EC 1.1.1.-) (AKR11A) (Vegetative protein 147) (VEG147)	iolS yxbF BSU39780 SS92ER
P46344	Cyclic-di-AMP phosphodiesterase PgpH (c-di-AMP phosphodiesterase) (EC 3.1.4.59)	pgpH yqfF BSU25330
P46350	Ribosome-associated protein L7Ae-like	rplGB ybaB ybxF BSU01090
P46354	Purine nucleoside phosphorylase 1 (PNP 1) (EC 2.4.2.1) (Inosine phosphorylase) (Inosine-guanosine phosphorylase) (Purine nucleoside phosphorylase I) (PNP I) (Pu-NPase I)	punA deoD pnp yqkO BSU23490
P46912	Menaquinol-cytochrome c reductase cytochrome b subunit	qcrB bfcB BSU22550
P49782	Stage III sporulation protein AE	spoIIIAE BSU24390
P49814	Malate dehydrogenase (EC 1.1.1.37) (Vegetative protein 69) (VEG69)	mdh citH BSU29120
P50620	Ribonucleoside-diphosphate reductase subunit alpha (EC 1.17.4.1) (Ribonucleotide reductase large subunit)	nrdE nrdA BSU17380
P50621	Ribonucleoside-diphosphate reductase subunit beta (EC 1.17.4.1) (Ribonucleotide reductase small subunit)	nrdF BSU17390
P50726	Riboflavin transporter FmnP (FMN permease) (Riboflavin ECF transporter S component FmnP)	fmnP ribU ypaA BSU23050
P50729	Probable ATP-dependent DNA helicase RecS (EC 3.6.4.12) (Recombination protein S)	recS ypbC BSU23020
P50735	Cryptic catabolic NAD-specific glutamate dehydrogenase GudB (NAD-GDH) (EC 1.4.1.2)	gudB ypcA BSU22960
P50736	Bacilliredoxin reductase Bdr (EC 1.8.1.-) (Bacillithiol-disulfide reductase) (BSSB reductase) (NADPH-dependent disulfide oxidoreductase) (Thioredoxin reductase-like flavoprotein) (YpdA family putative bacillithiol disulfide reductase)	bdr ypdA BSU22950 HIR78_13750
P50738	Protease PrsW (EC 3.4.-.-) (Protease responsible for activating sigma-W) (Site-1 protease PrsW) (S1P protease PrsW)	prsW ypdC BSU22940
P50740	Isopentenyl-diphosphate delta-isomerase (IPP isomerase) (EC 5.3.3.2) (Isopentenyl diphosphate:dimethylallyl diphosphate isomerase) (Isopentenyl pyrophosphate isomerase) (Type 2 isopentenyl diphosphate isomerase) (IDI-2)	fni idi ypgA BSU22870
P50743	GTPase Der (GTP-binding protein EngA)	der engA yphC BSU22840
P50848	Carboxypeptidase 1 (EC 3.4.17.19) (BsuCP)	ypwA BSU22080
P50863	Iron-sulfur cluster carrier protein	salA mrp rec233 ybaL ybxI BSU01540
P50866	ATP-dependent Clp protease ATP-binding subunit ClpX	clpX BSU28220
P51785	Dihydroxy-acid dehydratase (DAD) (EC 4.2.1.9) (Vegetative protein 110) (VEG110)	ilvD BSU21870
P51833	Ribonuclease 3 (EC 3.1.26.3) (Ribonuclease III) (RNase III)	rnc rncS BSU15930
P54178	SCO1 protein homolog (BsSco)	ypmQ BSU21750
P54450	N-acetylmuramoyl-L-alanine amidase CwlH (EC 3.5.1.28) (Autolysin) (Cell wall hydrolase)	cwlH yqeE BSU25710
P54462	Threonylcarbamoyladenosine tRNA methylthiotransferase MtaB (EC 2.8.4.5) (tRNA-t(6)A37 methylthiotransferase)	mtaB tmtB yqeV BSU25430
P54470	Putative pyruvate, phosphate dikinase regulatory protein (PPDK regulatory protein) (EC 2.7.11.32) (EC 2.7.4.27)	yqfL BSU25240
P54471	tRNA (adenine(22)-N(1))-methyltransferase (EC 2.1.1.217) (TrMet(m1A22)) (tRNA(m1A22)-methyltransferase) (tRNA(m1A22)MTase)	trmK yqfN BSU25180
P54495	Glucokinase (EC 2.7.1.2) (Glucose kinase)	glcK yqgR BSU24850
P54504	RsbT co-antagonist protein RsbRD (Stressosome protein RsbRD)	rsbRD yqhA BSU24760
P54506	Signal peptidase I W (SPase I) (EC 3.4.21.89) (Leader peptidase I)	sipW yqhE BSU24630
P54533	Dihydrolipoyl dehydrogenase (EC 1.8.1.4) (Dihydrolipoamide dehydrogenase) (E3 component of branched-chain alpha-keto acid dehydrogenase complex) (LPD-Val)	bfmBC yqiV BSU24060
P54544	Membrane protein insertase MisCB (Foldase YidC 1) (Membrane integrase YidC 1) (Membrane protein YidC 1)	misCB yqjG BSU23890
P54548	Ribonuclease Z (RNase Z) (EC 3.1.26.11) (tRNA 3 endonuclease) (tRNase Z)	rnz yqjK BSU23840
P54572	NAD-dependent malic enzyme 1 (NAD-ME 1) (EC 1.1.1.38) (Malate dehydrogenase MleA)	mleA yqkJ BSU23550
P54574	Ferric uptake regulation protein (Ferric uptake regulator)	fur yqkL BSU23520
P54576	Methyl-accepting chemotaxis protein McpC	mcpC prg71 BSU13950
P54603	Sortase D (EC 3.4.22.-)	srtD srtA yhcS BSU09200
P54715	PTS system maltose-specific EIICB component [Includes: Maltose permease IIC component (PTS system maltose-specific EIIC component); Maltose-specific phosphotransferase enzyme IIB component (EC 2.7.1.208) (PTS system maltose-specific EIIB component)]	malP glv-2 glvC glvCB yfiB BSU08200
P54955	N-acetylcysteine deacetylase (EC 3.5.1.-) (S-(2-succino)cysteine metabolism operon protein P)	scmP sndB yxeP BSU39470 LP9H
P60495	5-oxoprolinase subunit B (5-OPase subunit B) (EC 3.5.2.9) (5-oxoprolinase (ATP-hydrolyzing) subunit B) (Antikinase KipI) (Kinase A inhibitor) (Sporulation inhibitor KipI)	pxpB kipI ycsJ BSU04080
P68579	SPbeta prophage-derived sublancin-168-processing and transport ATP-binding protein SunT (EC 3.4.22.-) (EC 7.-.-.-)	sunT yolH BSU21470
P70965	UDP-N-acetylglucosamine 1-carboxyvinyltransferase 1 (EC 2.5.1.7) (Enoylpyruvate transferase 1) (UDP-N-acetylglucosamine enolpyruvyl transferase 1) (EPT 1)	murAA murA BSU36760
P71011	Antilisterial bacteriocin subtilosin biosynthesis protein AlbA (EC 1.21.98.-)	albA ywiA BSU37370
P71014	Biofilm-surface layer protein A (ORF-1)	bslA yuaB BSU31080
P71017	Choline dehydrogenase (EC 1.1.1.-) (Alcohol dehydrogenase)	gbsB BSU31050
P71018	Phosphate acyltransferase (EC 2.3.1.274) (Acyl-ACP phosphotransacylase) (Acyl-[acyl-carrier-protein]--phosphate acyltransferase) (Phosphate-acyl-ACP acyltransferase)	plsX ylpD BSU15890
P71040	Major cardiolipin synthase ClsA (CL synthase 2) (EC 2.7.8.-)	clsA ywnE BSU36590
P71063	UDP-N-acetylbacillosamine N-acetyltransferase (EC 2.3.1.203)	epsM yvfD BSU34240
P80698	Trigger factor (TF) (EC 5.2.1.8) (PPIase) (Vegetative protein 2) (VEG2)	tig yzzH BSU28230
P80859	6-phosphogluconate dehydrogenase, NADP(+)-dependent, decarboxylating (EC 1.1.1.44) (GNTZII)	gndA yqjI BSU23860
P80860	Glucose-6-phosphate isomerase (GPI) (EC 5.3.1.9) (Phosphoglucose isomerase) (PGI) (Phosphohexose isomerase) (PHI) (Vegetative protein 54) (VEG54)	pgi yugL BSU31350
P80864	Thiol peroxidase (Tpx) (EC 1.11.1.24) (Peroxiredoxin tpx) (Prx) (Thioredoxin peroxidase) (Thioredoxin-dependent peroxiredoxin)	tpx ytgI BSU29490
P80868	Elongation factor G (EF-G) (Vegetative protein 19) (VEG19)	fusA fus BSU01120
P80874	Aldo-keto reductase YhdN (EC 1.1.1.-) (AKR11B) (General stress protein 69) (GSP69)	yhdN BSU09530
P80877	5-methyltetrahydropteroyltriglutamate--homocysteine methyltransferase (EC 2.1.1.14) (Cobalamin-independent methionine synthase) (Methionine synthase, vitamin-B12 independent isozyme) (Superoxide-inducible protein 9) (SOI9)	metE metC BSU13180
P80886	Succinate--CoA ligase [ADP-forming] subunit beta (EC 6.2.1.5) (Succinyl-CoA synthetase subunit beta) (SCS-beta)	sucC BSU16090
P81101	Ribosome-recycling factor (RRF) (Ribosome-releasing factor) (Vegetative protein 12B) (VEG12B)	frr BSU16520
P94360	Oligosaccharides import ATP-binding protein MsmX (EC 7.5.2.-) (Maltodextrin import ATP-binding protein MsmX) (Melibiose/raffinose/stachyose import ATP-binding protein MsmX)	msmX yxkG BSU38810
P94368	ADP-dependent (S)-NAD(P)H-hydrate dehydratase (EC 4.2.1.136) (ADP-dependent NAD(P)HX dehydratase)	nnrD yxkO BSU38720
P94390	Proline dehydrogenase 2 (PRODH 2) (EC 1.5.5.2) (Proline oxidase 2)	putB ycgM BSU03200
P94391	1-pyrroline-5-carboxylate dehydrogenase 2 (P5C dehydrogenase 2) (EC 1.2.1.88) (L-glutamate gamma-semialdehyde dehydrogenase)	putC ycgN BSU03210
P94392	High-affinity proline transporter PutP	putP ycgO BSU03220
P94404	Probable UbiX-like flavin prenyltransferase (EC 2.5.1.129) (Phenolic acid decarboxylase subunit B) (PAD)	bsdB ubiX yclB BSU03630
P94417	Aspartokinase 3 (EC 2.7.2.4) (Aspartate kinase 3) (Aspartokinase III)	yclM BSU03790
P94421	Petrobactin-binding protein YclQ	yclQ BSU03830
P94427	Probable 4-aminobutyrate aminotransferase (EC 2.6.1.19) ((S)-3-amino-2-methylpropionate transaminase) (EC 2.6.1.22) (GABA aminotransferase) (GABA-AT) (Gamma-amino-N-butyrate transaminase) (GABA transaminase) (Glutamate:succinic semialdehyde transaminase) (L-AIBAT)	gabT ycnG BSU03900
P94428	Succinate-semialdehyde dehydrogenase [NADP(+)] (SSDH) (EC 1.2.1.79)	gabD ycnH BSU03910
P94438	Sensor histidine kinase LnrJ (EC 2.7.13.3)	lnrJ linJ yfiJ BSU08290
P94498	Adenosine 5'-phosphosulfate reductase 1 (APS reductase 1) (EC 1.8.4.10) (5'-adenylylsulfate reductase 1) (Thioredoxin-dependent 5'-adenylylsulfate reductase 1)	cysH BSU15570
P94512	Phosphoserine phosphatase (PSP) (EC 3.1.3.3)	serB ysaA BSU28940
P94526	Sugar-phosphatase AraL (EC 3.1.3.23) (Arabinose operon protein AraL) (Phosphoserine phosphatase) (EC 3.1.3.3)	araL yseA BSU28770
P94529	Arabinooligosaccharides transport system permease protein AraP	araP yseD BSU28740
P94541	Ribonuclease HIII (RNase HIII) (EC 3.1.26.4)	rnhC ysgB BSU28620
P94558	dITP/XTP pyrophosphatase (EC 3.6.1.66) (Non-canonical purine NTP pyrophosphatase) (Non-standard purine NTP pyrophosphatase) (Nucleoside-triphosphate diphosphatase) (Nucleoside-triphosphate pyrophosphatase) (NTPase)	ysnA BSU28360
P94571	Undecaprenyl-diphosphatase BcrC (EC 3.6.1.27) (Undecaprenyl pyrophosphate phosphatase)	bcrC ywoA BSU36530
P96503	Flagellar assembly factor FliW	fliW yviF BSU35380
P96574	Transcriptional regulator MtlR (Mannitol operon transcriptional activator) (Mtl operon transcriptional activator) [Includes: Putative phosphotransferase enzyme IIB component (EC 2.7.1.197) (Putative PTS system EIIB component); Putative phosphotransferase enzyme IIA component (Putative PTS system EIIA component)]	mtlR ydaA BSU04160
P96590	Putative 8-oxo-dGTP diphosphatase (8-oxo-dGTPase) (EC 3.6.1.55) (7,8-dihydro-8-oxoguanine-triphosphatase) (Mutator protein MutT) (dGTP pyrophosphohydrolase)	mutT BSU04330
P96618	Holo-[acyl-carrier-protein] synthase (Holo-ACP synthase) (EC 2.7.8.7) (4'-phosphopantetheinyl transferase AcpS)	acpS ydcB BSU04620
P96621	Antitoxin EndoAI (Antitoxin MazE-bs) (MazE-bs) (EndoA inhibitor)	ndoAI mazE BSU04650
P96710	Arabinose-proton symporter (Arabinose transporter)	araE yvbR BSU33960
P96717	Tyrosine-protein phosphatase YwqE (EC 3.1.3.48)	ywqE BSU36240
P96718	UDP-glucose 6-dehydrogenase YwqF (UDP-Glc dehydrogenase) (UDP-GlcDH) (UDPGDH) (EC 1.1.1.22)	ywqF BSU36230
P96736	PGA synthase CapB (EC 6.3.2.-) (Gamma-polyglutamic acid synthase)	capB pgsB ywsC BSU35900
P96740	Gamma-DL-glutamyl hydrolase (EC 3.4.19.-) (Poly-gamma-glutamate depolymerase) (PGA depolymerase)	pgdS ywtD BSU35860
Q01465	Cell shape-determining protein MreB (Actin-like MreB protein) (Rod shape-determining protein MreB)	mreB BSU28030
Q01625	Membrane protein insertase MisCA (Foldase YidC 2) (Membrane integrase YidC 2) (Membrane protein YidC 2) (Stage III sporulation protein J) (SpoIIIJ)	misCA spoIIIJ BSU41040
Q02113	Amidase enhancer (Cell wall-associated polypeptide CWBP76) (CWBP76) (Modifier protein of major autolysin)	lytB cwbA BSU35630
Q03223	50S ribosomal protein L31	rpmE BSU37070
Q03523	UDP-N-acetylmuramoyl-L-alanyl-D-glutamate--2,6-diaminopimelate ligase (EC 6.3.2.13) (Meso-A2pm-adding enzyme) (Meso-diaminopimelate-adding enzyme) (UDP-MurNAc-L-Ala-D-Glu:meso-diaminopimelate ligase) (UDP-MurNAc-tripeptide synthetase) (UDP-N-acetylmuramyl-tripeptide synthetase)	murE BSU15180
Q03524	Stage V sporulation protein D (EC 3.4.16.4) (Sporulation-specific penicillin-binding protein)	spoVD BSU15170
Q04747	Surfactin synthase subunit 2	srfAB comL srfA2 BSU03490
Q04789	Acetolactate synthase (EC 2.2.1.6) (ALS) (Acetohydroxy-acid synthase)	alsS BSU36010
Q04797	Aspartate-semialdehyde dehydrogenase (ASA dehydrogenase) (ASADH) (EC 1.2.1.11) (Aspartate-beta-semialdehyde dehydrogenase)	asd BSU16750
Q04809	Dipicolinate synthase subunit A (DPA synthase subunit A) (EC 1.3.1.-) (Spore dipicolinate synthase subunit A) (Stage V sporulation protein FA)	dpaA spoVFA BSU16730 orfY
Q05470	Polyketide synthase PksL (PKS)	pksL outG pksA pksX BSU17190
Q05522	Protein-glutamate methylesterase/protein-glutamine glutaminase (EC 3.1.1.61) (EC 3.5.1.44)	cheB cheL BSU16420
Q05865	Dihydrofolate synthase/folylpolyglutamate synthase (DHFS / FPGS) (EC 6.3.2.12) (EC 6.3.2.17) (Folylpoly-gamma-glutamate synthetase-dihydrofolate synthetase) (Folylpolyglutamate synthetase) (Tetrahydrofolylpolyglutamate synthase)	folC BSU28080
Q05873	Valine--tRNA ligase (EC 6.1.1.9) (Valyl-tRNA synthetase) (ValRS)	valS BSU28090
Q06750	Serine acetyltransferase (SAT) (EC 2.3.1.30)	cysE cysA BSU00930
Q06752	Cysteine--tRNA ligase (EC 6.1.1.16) (Cysteinyl-tRNA synthetase) (CysRS)	cysS spnA BSU00940
Q06756	2-C-methyl-D-erythritol 2,4-cyclodiphosphate synthase (MECDP-synthase) (MECPP-synthase) (MECPS) (EC 4.6.1.12)	ispF yacN BSU00910
Q07428	Nitrogen regulatory PII-like protein	nrgB BSU36520
Q07429	Ammonium transporter (Membrane protein NrgA) (Protein AmtB)	nrgA amtB BSU36510
Q07867	Cell division protein FtsL	ftsL yllD ylxB BSU15150
Q08352	Alanine dehydrogenase (EC 1.4.1.1) (Stage V sporulation protein N)	ald ski22 spoVN BSU31930
Q08432	Cystathionine beta-lyase PatB (CBL) (EC 4.4.1.13) (Beta-cystathionase PatB) (Cysteine lyase PatB) (Cysteine-S-conjugate beta-lyase PatB)	patB BSU31440
Q08787	Surfactin synthase subunit 3	srfAC srfA3 BSU03510
Q08788	Surfactin synthase thioesterase subunit (EC 3.1.2.-) (Cold shock protein CSI16)	srfAD srfA4 BSU03520
Q45064	Glycerol-3-phosphate acyltransferase (Acyl-PO4 G3P acyltransferase) (Acyl-phosphate--glycerol-3-phosphate acyltransferase) (G3P acyltransferase) (GPAT) (EC 2.3.1.275) (Lysophosphatidic acid synthase) (LPA synthase)	plsY yneS BSU18070
Q45070	Glucuronoxylanase XynC (EC 3.2.1.136) (Endoxylanase XynC) (Glucuronoxylan xylanohydrolase)	xynC ynfF BSU18150
Q45460	Choline transport ATP-binding protein OpuBA	opuBA proV BSU33730
Q45462	Choline-binding protein	opuBC proX BSU33710
Q45582	N-acetylmuramic acid 6-phosphate etherase (MurNAc-6-P etherase) (EC 4.2.1.126) (N-acetylmuramic acid 6-phosphate hydrolase) (N-acetylmuramic acid 6-phosphate lyase)	murQ ybbI BSU01700
Q45585	ECF RNA polymerase sigma factor SigW (ECF sigma factor SigW) (Alternative RNA polymerase sigma factor SigW) (RNA polymerase sigma-W factor) (Sigma-W factor)	sigW ybbL BSU01730
Q45597	Fructose-1,6-bisphosphatase class 3 (FBPase class 3) (EC 3.1.3.11) (D-fructose-1,6-bisphosphate 1-phosphohydrolase class 3)	fbp yydE BSU40190
Q45612	Two-component system WalR/WalK regulatory protein YycI	yycI BSU40380
Q59192	DNA topoisomerase 4 subunit B (EC 5.6.2.2) (Topoisomerase IV subunit B)	parE grlB BSU18090
Q794W0	Two-component system WalR/WalK regulatory protein YycH	yycH BSU40390
Q796C3	Sporulenol synthase (EC 4.2.1.137) (Tetraprenyl-beta-curcumene cyclase)	sqhC BSU19320
Q796K8	Penicillin-binding protein H (EC 3.4.16.4)	pbpH ykuA BSU13980
Q796V8	Oxygen-independent coproporphyrinogen-III oxidase-like protein HemZ (EC 1.3.99.-)	hemZ yhaV yhaW BSU09840
Q797E6	Intracellular iron chaperone frataxin (Fra) (Iron channeling protein frataxin)	fra ydhG BSU05750
Q7WY62	Sporulation inhibitor sda (Histidine kinase KinA inhibitor)	sda BSU25690
Q7WY77	5-oxoprolinase subunit C (5-OPase subunit C) (EC 3.5.2.9) (5-oxoprolinase (ATP-hydrolyzing) subunit C) (KipI antagonist) (Protein KipA)	pxpC kipA BSU04090
Q7WY78	Polyisoprenyl-teichoic acid--peptidoglycan teichoic acid transferase TagT (EC 2.7.8.-)	tagT ywtF BSU35840
Q99027	Sensor histidine kinase ComP (EC 2.7.13.3)	comP BSU31690
Q9K2S2	Na(+)/H(+) antiporter subunit A (Mrp complex subunit A) (Multiple resistance and pH homeostasis protein A)	mrpA ntrA shaA yufT BSU31600
Q9KWU4	Pyruvate carboxylase (EC 6.4.1.1) (Pyruvic carboxylase) (PYC)	pyc pycA ylaP BSU14860
Q9R9I1	Serine protease Do-like HtrB (EC 3.4.21.107) (HtrA-like serine protease)	htrB yvtA BSU33000
