	protein	gene
b1336	p-aminobenzoyl-glutamate transport protein (PABA-GLU transport protein)	abgT ydaH b1336 JW5822 ECK1332
b1337	p-aminobenzoyl-glutamate hydrolase subunit B (EC 3.5.1.-) (PABA-GLU hydrolase) (PGH)	abgB ydaI b1337 JW1331 ECK1333
b1338	p-aminobenzoyl-glutamate hydrolase subunit A (EC 3.5.1.-) (PABA-GLU hydrolase) (PGH)	abgA ydaJ b1338 JW5205
b1339	HTH-type transcriptional regulator AbgR	abgR b1339 JW1333
b1340	Probable DNA endonuclease SmrA (EC 3.1.-.-)	smrA ydaL b1340 JW1334
b1341	Diguanylate cyclase DgcM (DGC) (EC 2.7.7.65)	dgcM ydaM b1341 JW5206
b1342	Zinc transport protein ZntB	zntB ydaN b1342 JW1336
b4743	Protein YnaL	ynaL b4743
b1343	ATP-dependent RNA helicase DbpA (EC 3.6.4.13)	dbpA b1343 JW1337
b1344	tRNA-cytidine(32) 2-sulfurtransferase (EC 2.8.1.-) (Two-thiocytidine biosynthesis protein A) (tRNA 2-thiocytidine biosynthesis protein TtcA)	ttcA ydaO b1344 JW1338
b1345	Prophage integrase IntR (Putative lambdoid prophage Rac integrase)	intR ydaP b1345 JW1339
b1346	Uncharacterized protein YdaQ	ydaQ b1346 JW5207
b1347	Double-strand break reduction protein	rcbA ydaC b1347 JW1341
b1348	Endodeoxyribonuclease toxin RalR (DNase RalR) (EC 3.1.-.-) (Restriction alleviation and modification enhancement protein) (Toxin RalR)	ralR lar ral ydaB b1348 JW5208
b1349	Protein RecT (P33)	recT b1349 JW1343
b1350	Exodeoxyribonuclease 8 (EC 3.1.11.-) (Exodeoxyribonuclease VIII) (EXO VIII)	recE b1350 JW1344
b1351	Protein RacC	racC b1351 JW1345
b4526	Uncharacterized protein YdaE	ydaE b4526 JW1346
b1352	Killing protein KilR (FtsZ inhibitor protein KilR)	kilR kil ydaD b1352 JW1347
b1353	Superinfection exclusion protein B	sieB b1353 JW5209
b4527	Uncharacterized protein YdaF	ydaF b4527 JW1349 b1353.1
b1355	Uncharacterized protein YdaG	ydaG b1355 JW5210
b1356	Prophage repressor RacR (Rac prophage repressor)	racR ydaR b1356 JW1351
b1357	Uncharacterized protein YdaS	ydaS b1357 JW1352
b1358	Uncharacterized protein YdaT	ydaT b1358 JW1353
b1359	Uncharacterized protein YdaU	ydaU b1359 JW1354
b1360	Uncharacterized protein YdaV	ydaV b1360 JW1355
b1361	Protein YdaW	ydaW b1361 JW5211
b1362	Putative endopeptidase RzpR (EC 3.4.-.-) (Putative Rz endopeptidase from lambdoid prophage Rac)	rzpR ydaX b1362 JW5212
b4528	Prophage outer membrane lipoprotein RzoR (o-spanin) (Outer membrane lipoprotein Rz1 from lambdoid prophage Rac) (Spanin from lambdoid prophage Rac, outer membrane subunit)	rzoR b4528 JW5213
b1363	Trk system potassium uptake protein TrkG	trkG b1363 JW1358
b1365	ParB-like nuclease domain-containing protein YnaK	ynaK b1365 JW1359
b1366	Protein YdaY	ydaY b1366 JW1360
b1368	Protein YnaA	ynaA tmpR b1368 JW1361
b1370	Transposase InsH for insertion sequence element IS5Y	insH5 b1370 JW1363
b1372	Prophage side tail fiber protein homolog StfR (Side tail fiber protein homolog from lambdoid prophage Rac)	stfR ynaB b1372 JW1366
b1373	Prophage tail fiber assembly protein homolog TfaR (Tail fiber assembly protein homolog from lambdoid prophage Rac)	tfaR ynaC b1373 JW1367
b1374	Serine recombinase PinR (EC 3.1.22.-) (EC 6.5.1.-) (DNA-invertase PinR) (Putative DNA-invertase from lambdoid prophage Rac) (Site-specific recombinase PinR)	pinR ynaD b1374 JW1368
b1375	Uncharacterized protein YnaE	ynaE b1375 JW1369
b4744	Protein YnaM	ynaM b4744
b4638	NA	NA
b1376	Universal stress protein F	uspF ynaF yzzL b1376 JW1370
b1377	Outer membrane porin N (Outer membrane protein N) (Porin OmpN)	ompN ynaG b1377 JW1371
b1378	Probable pyruvate-flavodoxin oxidoreductase (EC 1.2.7.-)	ydbK b1378 JW1372
b4529	Uncharacterized protein YdbJ	ydbJ b4529 JW5215
b1379	Heat shock protein HslJ	hslJ ydbI b1379 JW1374
b1380	D-lactate dehydrogenase (D-LDH) (EC 1.1.1.28) (Fermentative lactate dehydrogenase)	ldhA hslI htpH b1380 JW1375
b1381	Uncharacterized protein YdbH	ydbH b1381 JW1376
b1382	Uncharacterized protein YnbE	ynbE b1382 JW1377
b1383	Uncharacterized protein YdbL	ydbL b1383 JW5216
b1384	Transcriptional activator FeaR	feaR maoB maoR ydbM b1384 JW1379
b1385	Phenylacetaldehyde dehydrogenase (PAD) (EC 1.2.1.39)	feaB maoB padA ydbG b1385 JW1380
b1386	Primary amine oxidase (EC 1.4.3.21) (2-phenylethylamine oxidase) (Copper amine oxidase) (Tyramine oxidase)	tynA maoA b1386 JW1381
b1387	Bifunctional protein PaaZ [Includes: 2-oxepin-2(3H)-ylideneacetyl-CoA hydrolase (EC 3.3.2.12) (Oxepin-CoA hydrolase); 3-oxo-5,6-dehydrosuberyl-CoA semialdehyde dehydrogenase (EC 1.2.1.91)]	paaZ maoC ydbN b1387 JW1382
b1388	1,2-phenylacetyl-CoA epoxidase, subunit A (EC 1.14.13.149) (1,2-phenylacetyl-CoA epoxidase, catalytic subunit alpha) (1,2-phenylacetyl-CoA monooxygenase, subunit A)	paaA ydbO b1388 JW1383
b1389	1,2-phenylacetyl-CoA epoxidase, subunit B (1,2-phenylacetyl-CoA monooxygenase, subunit B)	paaB ynbF b1389 JW1384
b1390	1,2-phenylacetyl-CoA epoxidase, subunit C (1,2-phenylacetyl-CoA epoxidase, structural subunit beta) (1,2-phenylacetyl-CoA monooxygenase, subunit C)	paaC ydbP b1390 JW1385
b1391	Putative 1,2-phenylacetyl-CoA epoxidase, subunit D (1,2-phenylacetyl-CoA monooxygenase, subunit D)	paaD ydbQ b1391 JW5217
b1392	1,2-phenylacetyl-CoA epoxidase, subunit E (EC 1.-.-.-) (1,2-phenylacetyl-CoA epoxidase, reductase subunit) (1,2-phenylacetyl-CoA monooxygenase, subunit E)	paaE ydbR b1392 JW1387
b1393	2,3-dehydroadipyl-CoA hydratase (EC 4.2.1.17) (Enoyl-CoA hydratase)	paaF ydbR b1393 JW1388
b1394	1,2-epoxyphenylacetyl-CoA isomerase (EC 5.3.3.18)	paaG ydbT b1394 JW1389
b1395	3-hydroxyadipyl-CoA dehydrogenase (EC 1.1.1.-)	paaH ydbU b1395 JW1390
b1396	Acyl-coenzyme A thioesterase PaaI (EC 3.1.2.-) (Phenylacetic acid degradation protein PaaI)	paaI ydbV b1396 JW1391
b1397	3-oxoadipyl-CoA/3-oxo-5,6-dehydrosuberyl-CoA thiolase (EC 2.3.1.174) (EC 2.3.1.223)	paaJ paaE ydbW b1397 JW1392
b1398	Phenylacetate-coenzyme A ligase (EC 6.2.1.30) (Phenylacetyl-CoA ligase) (PA-CoA ligase)	paaK b1398 JW5218
b1399	Transcriptional repressor PaaX	paaX ydbY b1399 JW1394
b1400	Phenylacetic acid degradation protein PaaY	paaY ydbZ b1400 JW1395
b4674	Uncharacterized protein YnbG	ynbG b4674 JW1395.1
b1402	Transposase InsD for insertion element IS2D	insD2 b1402 JW1397
b1403	Transposase InsC for insertion element IS2D	insC2 b1403 JW1400
b1404	Transposase InsI for insertion sequence element IS30C	insI3 b1404 JW1401
b1406	Pyridoxine 4-dehydrogenase (EC 1.1.1.65)	pdxI ydbC b1406 JW1403
b1407	Uncharacterized protein YdbD	ydbD b1407 JW5221
b1408	Inner membrane protein YnbA	ynbA b1408 JW1405
b1409	Uncharacterized protein YnbB	ynbB b1409 JW1406
b1410	Uncharacterized protein YnbC	ynbC b1410 JW1407
b1411	Uncharacterized protein YnbD	ynbD b1411 JW1408
b1412	FMN-dependent NADH:quinone oxidoreductase (EC 1.6.5.-) (Azo-dye reductase) (FMN-dependent NADH-azo compound oxidoreductase) (FMN-dependent NADH-azoreductase) (EC 1.7.1.17)	azoR acpD b1412 JW1409
b1413	ATP-dependent RNA helicase HrpA (EC 3.6.4.13)	hrpA b1413 JW5905
b1414	Protein YdcF	ydcF b1414 JW1411
b1415	Lactaldehyde dehydrogenase (EC 1.2.1.22) (Aldehyde dehydrogenase A) (Glycolaldehyde dehydrogenase) (EC 1.2.1.21)	aldA ald b1415 JW1412
b4493	NA	NA
b1418	Cytochrome b561 (Cytochrome b-561)	cybB b1418 JW5224
b1419	Uncharacterized protein YdcA	ydcA b1419 JW1416
b4428	Toxic protein HokB	hokB ydcB b4428 JW5225
b1420	Regulatory protein MokB	mokB b1420 JW5882
b1421	Methyl-accepting chemotaxis protein III (MCP-III) (Ribose and galactose chemoreceptor protein)	trg b1421 JW1417
b1422	Uncharacterized HTH-type transcriptional regulator YdcI	ydcI b1422 JW5226
b1423	Uncharacterized protein YdcJ	ydcJ b1423 JW1419
b1424	Glucans biosynthesis protein D	mdoD opgD ydcG yzzZ b1424 JW1420
b1426	Uncharacterized protein YdcH	ydcH b1426 JW5823
b1427	Ribosomal-protein-serine acetyltransferase (EC 2.3.1.-) (Acetylating enzyme for N-terminal of ribosomal protein L7/L12)	rimL b1427 JW1423
b1428	Uncharacterized acetyltransferase YdcK (EC 2.3.1.-)	ydcK b1428 JW1424
b1429	Tellurite resistance protein TehA	tehA b1429 JW1425
b1430	Tellurite methyltransferase (EC 2.1.1.265) (Chalcogen-detoxifying protein TehB) (Selenite methyltransferase) (Tellurite resistance protein TehB)	tehB b1430 JW1426
b1431	Uncharacterized lipoprotein YdcL	ydcL b1431 JW1427
b1432	Putative RNA-guided DNA endonuclease InsQ (EC 3.1.21.-)	insQ tnpB ydcM b1432 JW5228
b1433	Inner membrane protein YdcO	ydcO b1433 JW5229
b1434	HTH-type transcriptional regulator SutR (Sulfur utilization regulator)	sutR ydcN b1434 JW1430
b1435	23S rRNA 5-hydroxycytidine C2501 synthase (Large subunit ribosomal RNA hydroxylation A)	rlhA ydcP b1435 JW1431
b1436	Uncharacterized protein YncJ	yncJ b1436 JW1432
b4532	Probable mRNA interferase toxin HicA (EC 3.1.-.-) (Endoribonuclease HicA) (Toxin HicA)	hicA yncN b4532 JW5230
b1438	Antitoxin HicB	hicB ydcQ b1438 JW1433
b1439	Uncharacterized HTH-type transcriptional regulator YdcR	ydcR b1439 JW1434
b1440	Bifunctional polyhydroxybutyrate synthase / ABC transporter periplasmic binding protein (Poly-3-hydroxybutyrate synthase) (PHB synthase) (EC 2.3.1.-) (cPHB synthase)	ydcS b1440 JW1435
b1441	Uncharacterized ABC transporter ATP-binding protein YdcT	ydcT b1441 JW1436
b1442	Inner membrane ABC transporter permease protein YdcU	ydcU b1442 JW1437
b1443	Inner membrane ABC transporter permease protein YdcV	ydcV b1443 JW1438
b1444	Gamma-aminobutyraldehyde dehydrogenase (ABALDH) (EC 1.2.1.19) (1-pyrroline dehydrogenase) (4-aminobutanal dehydrogenase) (5-aminopentanal dehydrogenase) (EC 1.2.1.-)	patD prr ydcW b1444 JW1439
b4598	Uncharacterized protein YncL	yncL b4598 JW1439.1
b1445	Orphan toxin OrtT	ortT ydcX b1445 JW5232
b1446	Uncharacterized protein YdcY	ydcY b1446 JW1441
b1447	Inner membrane protein YdcZ	ydcZ b1447 JW1442
b1448	L-amino acid N-acyltransferase MnaT (EC 2.3.1.-) (L-methionine N-acyltransferase) (L-methionine sulfoximine/L-methionine sulfone N-acetyltransferase) (L-phenylglycine N-acetyltransferase)	mnaT yncA b1448 JW5233
b1449	NADPH-dependent curcumin reductase (EC 1.3.1.n3) (NADPH-dependent curcumin/dihydrocurcumin reductase)	curA yncB b1449 JW5907
b1450	HTH-type transcriptional regulator McbR	mcbR yncC b1450 JW1445
b1451	Probable TonB-dependent receptor YncD	yncD b1451 JW1446
b1452	Uncharacterized protein YncE	yncE b1452 JW1447
b1453	L-asparagine permease (L-asparagine transport protein)	ansP yncF b1453 JW5234
b1454	Uncharacterized GST-like protein YncG	yncG b1454 JW1449
b1455	Uncharacterized protein YncH	yncH b1455 JW5235
b1456	Putative protein RhsE	rhsE b1456 JW1451
b1457	Uncharacterized protein YdcD (ORF-E2)	ydcD b1457 JW1452
b4745	Protein YncO	yncO b4745
b1459	Putative transposase YncI	yncI yncM b1459 JW1453/JW5237 b1458
b1460	H repeat-associated putative transposase YdcC (ORF-H)	ydcC b1460 JW1455
b1461	Tautomerase PptA (EC 5.3.2.-)	pptA ydcE b1461 JW1456
b1462	Uncharacterized protein YddH	yddH b1462 JW1457
b1463	Arylamine N-acetyltransferase (EC 2.3.1.5) (Arylhydroxamate N,O-acetyltransferase) (N-hydroxyarylamine O-acetyltransferase) (EC 2.3.1.118)	nhoA yddI b1463 JW1458
b1464	Uncharacterized isomerase YddE (EC 5.1.-.-) (ORFB)	yddE b1464 JW1459
b1465	Respiratory nitrate reductase 2 gamma chain (EC 1.7.5.1)	narV b1465 JW1460
b1466	Probable nitrate reductase molybdenum cofactor assembly chaperone NarW (Redox enzyme maturation protein NarW)	narW b1466 JW1461
b1467	Respiratory nitrate reductase 2 beta chain (EC 1.7.5.1)	narY b1467 JW1462
b1468	Respiratory nitrate reductase 2 alpha chain (EC 1.7.5.1)	narZ b1468 JW1463
b1469	Nitrate/nitrite transporter NarU (Nitrite extrusion protein 2) (Nitrite facilitator 2)	narU yddF b1469 JW1464
b1470	Putative protein YddJ	yddJ b1470 JW1466
b1471	Leucine-rich repeat domain-containing protein YddK	yddK b1471 JW1467
b1472	Protein YddL	yddL b1472 JW1468
b1473	Aromatic amino acid exporter YddG	yddG b1473 JW1469
b1474	Formate dehydrogenase, nitrate-inducible, major subunit (EC 1.17.5.3) (Anaerobic formate dehydrogenase major subunit) (Formate dehydrogenase-N subunit alpha) (FDH-N subunit alpha)	fdnG b1474 JW1470
b1475	Formate dehydrogenase, nitrate-inducible, iron-sulfur subunit (Anaerobic formate dehydrogenase iron-sulfur subunit) (Formate dehydrogenase-N subunit beta) (FDH-N subunit beta)	fdnH b1475 JW1471
b1476	Formate dehydrogenase, nitrate-inducible, cytochrome b556(Fdn) subunit (Anaerobic formate dehydrogenase cytochrome b556 subunit) (Formate dehydrogenase-N subunit gamma) (FDH-N subunit gamma)	fdnI b1476 JW1472
b1477	Uncharacterized HTH-type transcriptional regulator YddM	yddM b1477 JW5908
b1478	Alcohol dehydrogenase, propanol-preferring (EC 1.1.1.1)	adhP yddN b1478 JW1474
b1479	NAD-dependent malic enzyme (NAD-ME) (EC 1.1.1.38)	maeA sfcA b1479 JW5238
b1480	Stationary-phase-induced ribosome-associated protein (Protein D) (SRA) (30S ribosomal protein S22)	sra rpsV b1480 JW5962
b1481	Protein bdm (Biofilm-dependent modulation protein)	bdm yddX b1481 JW5239
b1482	Peroxiredoxin OsmC (EC 1.11.1.-) (Osmotically-inducible protein C)	osmC b1482 JW1477
b1483	Probable D,D-dipeptide transport ATP-binding protein DdpF	ddpF yddO b1483 JW1478
b1484	Probable D,D-dipeptide transport ATP-binding protein DdpD	ddpD yddP b1484 JW1479
b1485	Probable D,D-dipeptide transport system permease protein DdpC	ddpC yddQ b1485 JW1480
b1486	Probable D,D-dipeptide transport system permease protein DdpB	ddpB yddR b1486 JW1481
b1487	Probable D,D-dipeptide-binding periplasmic protein DdpA	ddpA yddS b1487 JW5240
b1488	D-alanyl-D-alanine dipeptidase (D-Ala-D-Ala dipeptidase) (EC 3.4.13.22)	ddpX vanX yddT b1488 JW1483
b1489	Oxygen sensor protein DosP (EC 3.1.4.52) (Direct oxygen-sensing phosphodiesterase) (Direct oxygen sensor protein) (Ec DOS) (Heme-regulated cyclic di-GMP phosphodiesterase)	dosP dos pdeO yddU b1489 JW1484
b1490	Diguanylate cyclase DosC (DGC) (EC 2.7.7.65) (Direct oxygen-sensing cyclase)	dosC dgcO yddV b1490 JW5241
b4746	Protein YddY	yddY b4746
b1491	Glycosyl hydrolase DigH (EC 3.2.1.-) (Divisome-localized glycosyl hydrolase)	digH yddW b1491 JW1486
b1492	Glutamate/gamma-aminobutyrate antiporter (Glu/GABA antiporter) (Extreme acid sensitivity protein)	gadC acsA xasA b1492 JW1487
b1493	Glutamate decarboxylase beta (GAD-beta) (EC 4.1.1.15)	gadB b1493 JW1488
b1494	Probable zinc protease PqqL (EC 3.4.24.-)	pqqL yddC b1494 JW1489
b1495	Uncharacterized protein YddB (CDS103)	yddB b1495 JW1490
b1496	Inner membrane ABC transporter ATP-binding protein YddA (CDS102)	yddA b1496 JW5242
b4747	Protein YneP	yneP b4747
b1497	Anaerobic sulfatase-maturating enzyme homolog YdeM (AnSME homolog)	ydeM b1497 JW1492
b1498	Uncharacterized sulfatase YdeN (EC 3.1.6.-)	ydeN b1498 JW5243
b1499	HTH-type transcriptional regulator YdeO	ydeO b1499 JW1494
b1500	Two-component-system connector protein SafA (Regulatory protein b1500) (Sensor associating factor A)	safA yneN b1500 JW1494.1
b1501	Protein YdeP	ydeP b1501 JW1495
b1502	Uncharacterized fimbrial-like protein YdeQ	ydeQ b1502 JW1496
b1503	Uncharacterized fimbrial-like protein YdeR	ydeR b1503 JW1497
b1504	Uncharacterized fimbrial-like protein YdeS	ydeS b1504 JW1498
b1505	Fimbrial usher domain-containing protein YdeT	ydeT b1505 JW1499
b1506	Putative HTH-type transcriptional regulator YneL	yneL b1506 JW5244
b1507	Serine/threonine-protein kinase toxin HipA (Ser/Thr-protein kinase HipA) (EC 2.7.11.1) (Toxin HipA)	hipA b1507 JW1500
b1508	Antitoxin HipB	hipB b1508 JW1501
b4696	NA	NA
b1511	Autoinducer-2 kinase (AI-2 kinase) (EC 2.7.1.189)	lsrK ydeV b1511 JW1504
b1512	Transcriptional regulator LsrR	lsrR ydeW b1512 JW1505
b1513	Autoinducer 2 import ATP-binding protein LsrA (AI-2 import ATP-binding protein LsrA) (EC 7.6.2.13) (EGO10A)	lsrA ego ydeX b1513 JW1506
b1514	Autoinducer 2 import system permease protein LsrC (AI-2 import system permease protein LsrC)	lsrC ydeY b1514 JW1507
b1515	Autoinducer 2 import system permease protein LsrD (AI-2 import system permease protein LsrD)	lsrD ydeZ b1515 JW1508
b1516	Autoinducer 2-binding protein LsrB (AI-2-binding protein LsrB)	lsrB yneA b1516 JW1509
b1517	3-hydroxy-5-phosphonooxypentane-2,4-dione thiolase (EC 2.3.1.245)	lsrF yneB b1517 JW1510
b1518	(4S)-4-hydroxy-5-phosphonooxypentane-2,3-dione isomerase (EC 5.3.1.32) (Autoinducer 2-degrading protein LsrG) (AI-2-degrading protein LsrG) (Phospho-(S)-4,5-dihydroxy-2,3-pentanedione isomerase) (Phospho-AI-2 isomerase)	lsrG yneC b1518 JW1511
b1519	Trans-aconitate 2-methyltransferase (EC 2.1.1.144)	tam yneD b1519 JW1512
b1520	UPF0187 protein YneE	yneE b1520 JW5245
b1521	Altronate oxidoreductase (EC 1.1.1.58) (Tagaturonate dehydrogenase) (Tagaturonate reductase)	uxaB b1521 JW1514
b1522	Probable diguanylate cyclase DgcF (DGC) (EC 2.7.7.65)	dgcF yneF b1522 JW5825
b1523	Uncharacterized protein YneG	yneG b1523 JW1516
b1524	Glutaminase 2 (EC 3.5.1.2)	glsA2 yneH b1524 JW1517
b1525	Succinate semialdehyde dehydrogenase [NAD(P)+] Sad (SSADH) (SSDH) (EC 1.2.1.16)	sad yneI b1525 JW5247
b1526	Uncharacterized HTH-type transcriptional regulator YneJ	yneJ b1526 JW1519
b1527	Uncharacterized protein YneK	yneK b1527 JW1520
b1528	Sugar efflux transporter	sotB ydeA b1528 JW1521
b1529	UPF0056 inner membrane protein MarC	marC ydeB ydeC b1529 JW1522
b1530	Multiple antibiotic resistance protein MarR	marR cfxB inaR soxQ b1530 JW5248
b1531	Multiple antibiotic resistance protein MarA	marA b1531 JW5249
b1532	Multiple antibiotic resistance protein MarB	marB b1532 JW1525
b1533	Probable amino-acid metabolite efflux pump	eamA ydeD b1533 JW5250
b1534	Uncharacterized MFS-type transporter YdeE	ydeE ydeF b1534 JW1527
b4599	Small protein MgtS	mgtS yneM b4599 JW1527.1
b1535	Diguanylate cyclase DgcZ (DGC) (EC 2.7.7.65) (Zinc-sensory diguanylate cyclase)	dgcZ ydeG ydeH b1535 JW1528
b1536	Uncharacterized protein YdeI	ydeI b1536 JW1529
b1537	Protein YdeJ	ydeJ b1537 JW1530
b1538	Dipeptidyl carboxypeptidase (EC 3.4.15.5) (Peptidyl-dipeptidase Dcp)	dcp b1538 JW1531
b1539	NADP-dependent 3-hydroxy acid dehydrogenase YdfG (L-allo-threonine dehydrogenase) (EC 1.1.1.381) (Malonic semialdehyde reductase) (EC 1.1.1.298)	ydfG b1539 JW1532
b1540	HTH-type transcriptional repressor RspR	rspR ydfH b1540 JW1533
b1541	Putative selenoprotein YdfZ	ydfZ b1541 JW1534
b1542	Uncharacterized oxidoreductase YdfI (EC 1.-.-.-)	ydfI b1542 JW1535
b1543	Putative transporter YdfJ	ydfJ b1543 JW1536 b4600
b4748	Protein YnfT	ynfT ynfQ b4748
b1544	Cold shock protein YdfK	ydfK b1544 JW1537
b1545	Serine recombinase PinQ (EC 3.1.22.-) (EC 6.5.1.-) (DNA-invertase PinQ) (Putative DNA-invertase from lambdoid prophage Qin) (Site-specific recombinase PinQ)	pinQ ydfL b1545 JW1538
b1546	Prophage tail fiber assembly protein homolog TfaQ (Tail fiber assembly protein homolog from lambdoid prophage Qin)	tfaQ ydfM b1546 JW1539
b1547	Prophage side tail fiber protein homolog StfQ (Side tail fiber protein homolog from lambdoid prophage Qin)	stfQ ydfN b1547 JW1540
b1548	Prophage DNA-packing protein NohA (Prophage Qin DNA-packaging protein Nu1 homolog)	nohA nohQ b1548 JW1541
b4533	Uncharacterized protein YnfO (Uncharacterized protein YnfO from Qin prophage)	ynfO b4533 JW5251
b1549	Uncharacterized protein YdfO	ydfO b1549 JW5252
b1550	Protein GnsB	gnsB ydfY b1550 JW5253
b1551	Uncharacterized protein YnfN	ynfN b1551 JW5254
b4749	Protein YnfR	ynfR b4749
b4724	Protein YnfQ	ynfQ b4724
b1552	Cold shock-like protein CspI (CPS-I)	cspI cspJ b1552 JW1544
b1553	Uncharacterized protein RzpQ	rzpQ ydfP b1553 JW1545
b4689	Putative lipoprotein RzoQ	rzoQ b4689 JW1545.1
b1554	Probable prophage lysozyme (EC 3.2.1.17) (Endolysin) (Lysis protein) (Muramidase) (Probable lysozyme from lambdoid prophage Qin)	rrrQ arrQ ydfQ b1554 JW1546
b1555	Uncharacterized protein YdfR	ydfR b1555 JW1547
b1556	Prophage lysis protein S homolog EssQ (Lysis protein S homolog from lambdoid prophage Qin)	essQ ydfS b1556 JW5255
b1557	Cold shock-like protein CspB (CSP-B)	cspB b1557 JW1549
b1558	Cold shock-like protein CspF (CSP-F)	cspF b1558 JW1550
b4750	Protein YnfS	ynfS b4750
b1559	Prophage antitermination protein Q homolog QuuQ (Antitermination protein Q homolog from lambdoid prophage Qin)	quuQ ydfT b1559 JW1551
b1560	Uncharacterized protein YdfU	ydfU b1560 JW5909
b1561	Uncharacterized protein Rem	rem b1561 JW1553
b1562	Toxic protein HokD (Protein RelF)	hokD relF b1562 JW1554
b1563	mRNA interferase toxin RelE (EC 3.1.-.-) (Endoribonuclease RelE) (Toxin RelE)	relE b1563 JW1555
b1564	Antitoxin RelB	relB b1564 JW1556
