Entry	Gene Names	Protein names
P13482	treA osmA b1197 JW1186	Periplasmic trehalase (EC 3.2.1.28) (Alpha,alpha-trehalase) (Alpha,alpha-trehalose glucohydrolase) (Tre37A)
P13518	csrD yhdA b3252 JW3221	RNase E specificity factor CsrD (Regulator of CsrB and CsrC decay CsrD)
P13656	chiA yheB b3338 JW3300	Probable bifunctional chitinase/lysozyme [Includes: Chitinase (EC 3.2.1.14); Lysozyme (EC 3.2.1.17)]
P13738	nhaA ant b0019 JW0018	Na(+)/H(+) antiporter NhaA (Na(+)/H(+) exchanger) (Na(+)/Li(+)/H(+) antiporter) (Sodium/proton antiporter NhaA)
P14081	selB fdhA b3590 JW3563	Selenocysteine-specific elongation factor (SelB translation factor)
P14175	proV b2677 JW2652	Glycine betaine/proline betaine transport system ATP-binding protein ProV
P14176	proW b2678 JW2653	Glycine betaine/proline betaine transport system permease protein ProW
P14294	topB b1763 JW1752	DNA topoisomerase 3 (EC 5.6.2.1) (DNA topoisomerase III)
P14377	zraS hydH b4003 JW3967	Sensor protein ZraS (EC 2.7.13.3)
P14407	fumB b4122 JW4083	Fumarate hydratase class I, anaerobic (EC 4.2.1.2) (D-tartrate dehydratase) (EC 4.2.1.81) (Fumarase B)
P14565	traI ECOK12F104	Multifunctional conjugation protein TraI [Includes: DNA relaxase TraI (EC 5.6.2.1) (DNA nickase TraI) (Transesterase TraI); DNA helicase I (EC 3.6.4.12)]
P14900	murD b0088 JW0086	UDP-N-acetylmuramoylalanine--D-glutamate ligase (EC 6.3.2.9) (D-glutamic acid-adding enzyme) (UDP-N-acetylmuramoyl-L-alanyl-D-glutamate synthetase)
P15005	mcrB rglB b4346 JW5871	Type IV methyl-directed restriction enzyme EcoKMcrB subunit (EcoKMcrBC) (5-methylcytosine-specific restriction enzyme B) (EC 3.1.21.-)
P15034	pepP b2908 JW2876	Xaa-Pro aminopeptidase (EC 3.4.11.9) (Aminoacylproline aminopeptidase) (Aminopeptidase P II) (APP-II) (X-Pro aminopeptidase)
P15042	ligA dnaL lig lop pdeC b2411 JW2403	DNA ligase (EC 6.5.1.2) (Polydeoxyribonucleotide synthase [NAD(+)])
P15043	recQ b3822 JW5855	ATP-dependent DNA helicase RecQ (EC 3.6.4.12)
P15047	entA b0596 JW0588	2,3-dihydro-2,3-dihydroxybenzoate dehydrogenase (DiDHB-DH) (EC 1.3.1.28) (Trans-2,3-dihydro-2,3-dihydroxybenzoate dehydrogenase)
P15067	glgX glyX b3431 JW3394	Glycogen debranching enzyme (EC 3.2.1.196) (Glycogen operon protein GlgX) (Limit dextrin alpha-1,6-maltotetraose-hydrolase)
P15254	purL purI b2557 JW2541	Phosphoribosylformylglycinamidine synthase (FGAM synthase) (FGAMS) (EC 6.3.5.3) (Formylglycinamide ribonucleotide amidotransferase) (FGAR amidotransferase) (FGAR-AT)
P15288	pepD pepH b0237 JW0227	Cytosol non-specific dipeptidase (EC 3.4.13.18) (Aminoacyl-histidine dipeptidase) (Beta-alanyl-histidine dipeptidase) (Carnosinase) (Cysteinylglycinase) (Peptidase D) (Xaa-His dipeptidase) (X-His dipeptidase)
P15373	prlF sohA b3129 JW3098	Antitoxin PrlF (HtrA suppressor protein SohA)
P15640	purD b4005 JW3969	Phosphoribosylamine--glycine ligase (EC 6.3.4.13) (GARS) (Glycinamide ribonucleotide synthetase) (Phosphoribosylglycinamide synthetase)
P15723	dgt b0160 JW0156	Deoxyguanosinetriphosphate triphosphohydrolase (dGTP triphosphohydrolase) (dGTPase) (EC 3.1.5.1)
P15770	aroE b3281 JW3242	Shikimate dehydrogenase (NADP(+)) (SD) (SDH) (EC 1.1.1.25)
P15877	gcd b0124 JW0120	Quinoprotein glucose dehydrogenase (EC 1.1.5.2) (Glucose dehydrogenase [pyrroloquinoline-quinone])
P15993	aroP b0112 JW0108	Aromatic amino acid transport protein AroP (Aromatic amino acid:H(+) symporter AroP) (General aromatic amino acid permease) (General aromatic transport system)
P16256	panF b3258 JW3226	Sodium/pantothenate symporter (Pantothenate permease)
P16384	miaA trpX b4171 JW4129	tRNA dimethylallyltransferase (EC 2.5.1.75) (Dimethylallyl diphosphate:tRNA dimethylallyltransferase) (DMAPP:tRNA dimethylallyltransferase) (DMATase) (Isopentenyl-diphosphate:tRNA isopentenyltransferase) (IPP transferase) (IPPT) (IPTase)
P16431	hycE hevE b2721 JW2691	Formate hydrogenlyase subunit 5 (FHL subunit 5) (Hydrogenase-3 component E)
P16433	hycG hevG b2719 JW2689	Formate hydrogenlyase subunit 7 (FHL subunit 7) (Hydrogenase-3 component G)
P16456	selD fdhB b1764 JW1753	Selenide, water dikinase (EC 2.7.9.3) (Selenium donor protein) (Selenophosphate synthase)
P16528	iclR b4018 JW3978	Transcriptional repressor IclR (Acetate operon repressor)
P16659	proS drpA b0194 JW0190	Proline--tRNA ligase (EC 6.1.1.15) (Global RNA synthesis factor) (Prolyl-tRNA synthetase) (ProRS)
P16687	phnI b4099 JW4060	Alpha-D-ribose 1-methylphosphonate 5-triphosphate synthase subunit PhnI (RPnTP synthase subunit PhnI) (EC 2.7.8.37) (Ribose 1-methylphosphonate 5-triphosphate synthase nucleosidase subunit)
P16688	phnJ b4098 JW4059	Alpha-D-ribose 1-methylphosphonate 5-phosphate C-P lyase (PRPn C-P lyase) (EC 4.7.1.1)
P16692	phnP b4092 JW4053	Phosphoribosyl 1,2-cyclic phosphate phosphodiesterase (EC 3.1.4.55) (Phosphoribosyl cyclic phosphodiesterase)
P16700	cysP b2425 JW2418	Thiosulfate-binding protein
P16703	cysM b2421 JW2414	Cysteine synthase B (CSase B) (EC 2.5.1.47) (O-acetylserine (thiol)-lyase B) (OAS-TL B) (O-acetylserine sulfhydrylase B)
P16926	mreC b3250 JW3219	Cell shape-determining protein MreC (Cell shape protein MreC) (Rod shape-determining protein MreC)
P17109	menD b2264 JW5374	2-succinyl-5-enolpyruvyl-6-hydroxy-3-cyclohexene-1-carboxylate synthase (SEPHCHC synthase) (EC 2.2.1.9) (Menaquinone biosynthesis protein MenD)
P17115	gutQ srlQ b2708 JW5431	Arabinose 5-phosphate isomerase GutQ (API) (G-API) (EC 5.3.1.13) (Phosphosugar aldol-ketol isomerase)
P17117	nfsA mda18 mdaA ybjB b0851 JW0835	Oxygen-insensitive NADPH nitroreductase (EC 1.-.-.-) (Modulator of drug activity A)
P17169	glmS b3729 JW3707	Glutamine--fructose-6-phosphate aminotransferase [isomerizing] (EC 2.6.1.16) (D-fructose-6-phosphate amidotransferase) (GFAT) (Glucosamine-6-phosphate synthase) (Hexosephosphate aminotransferase) (L-glutamine--D-fructose-6-phosphate amidotransferase)
P17315	cirA cir feuA b2155 JW2142	Colicin I receptor
P17411	chbF celF ydjD b1734 JW1723	6-phospho-beta-glucosidase (EC 3.2.1.86) (Cellobiose-6-phosphate hydrolase) (Phospho-chitobiase)
P17443	murG b0090 JW0088	UDP-N-acetylglucosamine--N-acetylmuramyl-(pentapeptide) pyrophosphoryl-undecaprenol N-acetylglucosamine transferase (EC 2.4.1.227) (Undecaprenyl-PP-MurNAc-pentapeptide-UDPGlcNAc GlcNAc transferase)
P17444	betA b0311 JW0303	Oxygen-dependent choline dehydrogenase (CDH) (CHD) (EC 1.1.99.1) (Betaine aldehyde dehydrogenase) (BADH) (EC 1.2.1.8)
P17445	betB b0312 JW0304	Betaine aldehyde dehydrogenase (BADH) (EC 1.2.1.8)
P17846	cysI b2763 JW2733	Sulfite reductase [NADPH] hemoprotein beta-component (SiR-HP) (SiRHP) (EC 1.8.1.2)
P17854	cysH b2762 JW2732	Phosphoadenosine 5'-phosphosulfate reductase (PAPS reductase) (EC 1.8.4.8) (3'-phosphoadenylylsulfate reductase) (PAPS reductase, thioredoxin dependent) (PAPS sulfotransferase) (PAdoPS reductase)
P17888	priA b3935 JW3906	Primosomal protein N' (EC 3.6.4.-) (ATP-dependent helicase PriA) (Replication factor Y)
P17952	murC b0091 JW0089	UDP-N-acetylmuramate--L-alanine ligase (EC 6.3.2.8) (UDP-N-acetylmuramoyl-L-alanine synthetase)
P17993	ubiG pufX yfaB b2232 JW2226	Ubiquinone biosynthesis O-methyltransferase (2-octaprenyl-6-hydroxyphenol methylase) (EC 2.1.1.222) (3-demethylubiquinone-8 3-O-methyltransferase) (EC 2.1.1.64)
P18196	minC b1176 JW1165	Septum site-determining protein MinC
P18200	pgpA yajN b0418 JW0408	Phosphatidylglycerophosphatase A (EC 3.1.3.27) (Phosphatidylglycerolphosphate phosphatase A) (PGP phosphatase A)
P18335	argD dapC dtu b3359 JW3322	Acetylornithine/succinyldiaminopimelate aminotransferase (ACOAT) (DapATase) (Succinyldiaminopimelate transferase) (EC 2.6.1.11) (EC 2.6.1.17)
P18775	dmsA b0894 JW5118	Dimethyl sulfoxide reductase DmsA (DMSO reductase) (DMSOR) (Me2SO reductase) (EC 1.8.5.3)
P18776	dmsB b0895 JW0878	Anaerobic dimethyl sulfoxide reductase chain B (DMSO reductase iron-sulfur subunit)
P18843	nadE efg ntrL b1740 JW1729	NH(3)-dependent NAD(+) synthetase (EC 6.3.1.5) (Nicotinamide adenine dinucleotide synthetase) (NADS) (Nitrogen regulatory protein)
P18956	ggt b3447 JW3412	Glutathione hydrolase proenzyme (EC 3.4.19.13) (Gamma-glutamyltranspeptidase proenzyme) (GGT) (EC 2.3.2.2) [Cleaved into: Glutathione hydrolase large chain; Glutathione hydrolase small chain]
P19318	narY b1467 JW1462	Respiratory nitrate reductase 2 beta chain (EC 1.7.5.1)
P19319	narZ b1468 JW1463	Respiratory nitrate reductase 2 alpha chain (EC 1.7.5.1)
P19624	pdxA b0052 JW0051	4-hydroxythreonine-4-phosphate dehydrogenase (EC 1.1.1.262) (4-(phosphohydroxy)-L-threonine dehydrogenase)
P19636	eutC b2440 JW2433	Ethanolamine ammonia-lyase small subunit (EAL small subunit) (EC 4.3.1.7) (Ethanolamine ammonia-lyase beta subunit) (Ethanolamine ammonia-lyase light chain) (Ethanolamine deaminase small subunit)
P19925	entD b0583 JW5085	Enterobactin synthase component D (4'-phosphopantetheinyl transferase EntD) (EC 2.7.8.-) (Enterochelin synthase D)
P19926	agp b1002 JW0987	Glucose-1-phosphatase (G1Pase) (EC 3.1.3.10)
P19934	tolA cim excC lky b0739 JW0729	Tol-Pal system protein TolA
P20083	parE nfxD b3030 JW2998	DNA topoisomerase 4 subunit B (EC 5.6.2.2) (Topoisomerase IV subunit B)
P20966	fruA ptsF b2167 JW2154	PTS system fructose-specific EIIB'BC component (EIIB'BC-Fru) [Includes: PTS system fructose-specific EIIB component (EC 2.7.1.202) (EIII-Fru) (Fructose-specific phosphotransferase enzyme IIB component); PTS system fructose-specific EIIC component (Fructose permease IIC component)]
P21151	fadA oldA b3845 JW5578	3-ketoacyl-CoA thiolase FadA (EC 2.3.1.16) (Acetyl-CoA acyltransferase) (Beta-ketothiolase) (Fatty acid oxidation complex subunit beta)
P21156	cysD b2752 JW2722	Sulfate adenylyltransferase subunit 2 (EC 2.7.7.4) (ATP-sulfurylase small subunit) (Sulfate adenylate transferase) (SAT)
P21165	pepQ b3847 JW3823	Xaa-Pro dipeptidase (X-Pro dipeptidase) (EC 3.4.13.9) (Imidodipeptidase) (Proline dipeptidase) (Prolidase)
P21170	speA b2938 JW2905	Biosynthetic arginine decarboxylase (ADC) (EC 4.1.1.19)
P21177	fadB oldB b3846 JW3822	Fatty acid oxidation complex subunit alpha [Includes: Enoyl-CoA hydratase/Delta(3)-cis-Delta(2)-trans-enoyl-CoA isomerase/3-hydroxybutyryl-CoA epimerase (EC 4.2.1.17) (EC 5.1.2.3) (EC 5.3.3.8); 3-hydroxyacyl-CoA dehydrogenase (EC 1.1.1.35)]
P21179	katE b1732 JW1721	Catalase HPII (EC 1.11.1.6) (Hydroxyperoxidase II)
P21338	rna rnsA b0611 JW0603	Ribonuclease I (RNase I) (EC 4.6.1.21) (Enterobacter ribonuclease)
P21369	pncA nam ydjB b1768 JW1757	Nicotinamidase (EC 3.5.1.19) (Nicotinamide deamidase) (NAMase) (Pyrazinamidase) (PZAase) (EC 3.5.1.-)
P21437	yggF yggK b2930 JW2897	Fructose-1,6-bisphosphatase 2 class 2 (FBPase 2 class 2) (EC 3.1.3.11) (D-fructose-1,6-bisphosphate 1-phosphohydrolase 2 class 2)
P21499	rnr vacB yjeC b4179 JW5741	Ribonuclease R (RNase R) (EC 3.1.13.1) (Protein VacB)
P21507	srmB rbaB rhlA b2576 JW2560	ATP-dependent RNA helicase SrmB (EC 3.6.4.13)
P21513	rne ams hmp1 b1084 JW1071	Ribonuclease E (RNase E) (EC 3.1.26.12)
P21514	pdeL yahA b0315 JW0307	Cyclic di-GMP phosphodiesterase PdeL (EC 3.1.4.52)
P21599	pykA b1854 JW1843	Pyruvate kinase II (EC 2.7.1.40) (PK-2)
P21645	lpxD firA omsA b0179 JW0174	UDP-3-O-(3-hydroxymyristoyl)glucosamine N-acyltransferase (UDP-3-O-(3-OHC14)-GlcN N-acyltransferase) (EC 2.3.1.191) (Protein FirA) (Rifampicin resistance protein) (UDP-3-O-(3-hydroxytetradecanoyl)glucosamine N-acyltransferase)
P21693	dbpA b1343 JW1337	ATP-dependent RNA helicase DbpA (EC 3.6.4.13)
P21829	ybhA b0766 JW0749	Pyridoxal phosphate phosphatase YbhA (PLP phosphatase) (EC 3.1.3.74)
P21865	kdpD b0695 JW0683	Sensor protein KdpD (EC 2.7.13.3)
P21888	cysS b0526 JW0515	Cysteine--tRNA ligase (EC 6.1.1.16) (Cysteinyl-tRNA synthetase) (CysRS)
P22106	asnB b0674 JW0660	Asparagine synthetase B [glutamine-hydrolyzing] (AS-B) (EC 6.3.5.4)
P22188	murE b0085 JW0083	UDP-N-acetylmuramoyl-L-alanyl-D-glutamate--2,6-diaminopimelate ligase (EC 6.3.2.13) (Meso-A2pm-adding enzyme) (Meso-diaminopimelate-adding enzyme) (UDP-MurNAc-L-Ala-D-Glu:meso-diaminopimelate ligase) (UDP-MurNAc-tripeptide synthetase) (UDP-N-acetylmuramyl-tripeptide synthetase)
P22255	cysQ amtA b4214 JW4172	3'(2'),5'-bisphosphate nucleotidase CysQ (EC 3.1.3.7) (3'(2'),5-bisphosphonucleoside 3'(2')-phosphohydrolase) (3'-phosphoadenosine 5'-phosphate phosphatase) (PAP phosphatase) (DPNPase)
P22256	gabT b2662 JW2637	4-aminobutyrate aminotransferase GabT (EC 2.6.1.19) (5-aminovalerate transaminase) (EC 2.6.1.48) (GABA aminotransferase) (GABA-AT) (Gamma-amino-N-butyrate transaminase) (GABA transaminase) (Glutamate:succinic semialdehyde transaminase) (L-AIBAT)
P22259	pckA pck b3403 JW3366	Phosphoenolpyruvate carboxykinase (ATP) (PCK) (PEP carboxykinase) (PEPCK) (EC 4.1.1.49)
P22333	add b1623 JW1615	Adenosine deaminase (EC 3.5.4.4) (Adenosine aminohydrolase)
P22523	mukB b0924 JW0907	Chromosome partition protein MukB (Structural maintenance of chromosome-related protein)
P22525	ycbB b0925 JW0908	Probable L,D-transpeptidase YcbB (EC 2.-.-.-)
P22564	rihC yaaF b0030 JW0028	Non-specific ribonucleoside hydrolase RihC (EC 3.2.-.-) (Purine/pyrimidine ribonucleoside hydrolase)
P22634	murI dga glr yijA b3967 JW5550	Glutamate racemase (EC 5.1.1.3)
P22729	livM b3456 JW3421	High-affinity branched-chain amino acid transport system permease protein LivM (LIV-I protein M)
P22731	livF b3454 JW3419	High-affinity branched-chain amino acid transport ATP-binding protein LivF (LIV-I protein F)
P23003	trmA b3965 JW3937	tRNA/tmRNA (uracil-C(5))-methyltransferase (EC 2.1.1.-) (EC 2.1.1.35) (tRNA (uracil(54)-C(5))-methyltransferase) (tRNA(m5U54)-methyltransferase) (RUMT) (tmRNA (uracil(341)-C(5))-methyltransferase)
P23256	malY b1622 JW1614	Protein MalY [Includes: Cystathionine beta-lyase MalY (CBL) (EC 4.4.1.13) (Beta-cystathionase MalY) (Cysteine lyase MalY) (Cysteine-S-conjugate beta-lyase MalY); Maltose regulon modulator]
P23367	mutL b4170 JW4128	DNA mismatch repair protein MutL
P23522	garL yhaF b3126 JW3095	5-keto-4-deoxy-D-glucarate aldolase (KDGluc aldolase) (KDGlucA) (EC 4.1.2.20) (2-dehydro-3-deoxy-D-glucarate aldolase) (2-keto-3-deoxy-D-glucarate aldolase) (5-dehydro-4-deoxy-D-glucarate aldolase) (Alpha-keto-beta-deoxy-D-glucarate aldolase)
P23538	ppsA pps b1702 JW1692	Phosphoenolpyruvate synthase (PEP synthase) (EC 2.7.9.2) (Pyruvate, water dikinase)
P23721	serC pdxC pdxF b0907 JW0890	Phosphoserine aminotransferase (EC 2.6.1.52) (Phosphohydroxythreonine aminotransferase) (PSAT)
P23827	eco eti b2209 JW2197	Ecotin
P23836	phoP b1130 JW1116	Transcriptional regulatory protein PhoP
P23837	phoQ b1129 JW1115	Sensor protein PhoQ (EC 2.7.13.3) (EC 3.1.3.-) (Sensor histidine protein kinase/phosphatase PhoQ)
P23843	oppA b1243 JW1235	Periplasmic oligopeptide-binding protein
P23845	cysN b2751 JW2721	Sulfate adenylyltransferase subunit 1 (EC 2.7.7.4) (ATP-sulfurylase large subunit) (Sulfate adenylate transferase) (SAT)
P23847	dppA b3544 JW3513	Dipeptide-binding protein (DBP) (Periplasmic dipeptide transport protein)
P23857	pspE b1308 JW1301	Thiosulfate sulfurtransferase PspE (TST) (EC 2.8.1.1) (Phage shock protein E)
P23865	prc tsp b1830 JW1819	Tail-specific protease (EC 3.4.21.102) (C-terminal-processing peptidase) (PRC protein) (Protease Re)
P23872	aes ybaC b0476 JW0465	Acetyl esterase (EC 3.1.1.-) (EcE)
P23873	hipB b1508 JW1501	Antitoxin HipB
P23874	hipA b1507 JW1500	Serine/threonine-protein kinase toxin HipA (Ser/Thr-protein kinase HipA) (EC 2.7.11.1) (Toxin HipA)
P23882	fmt yhdD b3288 JW3249	Methionyl-tRNA formyltransferase (EC 2.1.2.9) (Met-tRNA(fMet) formyltransferase)
P23883	puuC aldH b1300 JW1293	NADP/NAD-dependent aldehyde dehydrogenase PuuC (ALDH) (EC 1.2.1.5) (3-hydroxypropionaldehyde dehydrogenase) (Gamma-glutamyl-gamma-aminobutyraldehyde dehydrogenase) (Gamma-Glu-gamma-aminobutyraldehyde dehydrogenase)
P23886	cydC mdrA mdrH surB b0886 JW0869	ATP-binding/permease protein CydC
P23890	cadC b4133 JW4094	Transcriptional activator CadC (Membrane-integrated pH sensor CadC)
P23893	hemL gsa popC b0154 JW0150	Glutamate-1-semialdehyde 2,1-aminomutase (GSA) (EC 5.4.3.8) (Glutamate-1-semialdehyde aminotransferase) (GSA-AT)
P23894	htpX b1829 JW1818	Protease HtpX (EC 3.4.24.-) (Heat shock protein HtpX)
P23895	emrE eb mvrC b0543 JW0531	Multidrug transporter EmrE (Efflux-multidrug resistance protein EmrE) (Ethidium resistance protein) (Methyl viologen resistance protein C)
P23908	argE b3957 JW3929	Acetylornithine deacetylase (AO) (Acetylornithinase) (EC 3.5.1.16) (N-acetylornithinase) (NAO)
P23909	mutS fdv b2733 JW2703	DNA mismatch repair protein MutS
P23930	lnt cutE b0657 JW0654	Apolipoprotein N-acyltransferase (ALP N-acyltransferase) (EC 2.3.1.269) (Copper homeostasis protein CutE)
P24082	traN ECOK12F089	Mating pair stabilization protein TraN
P24171	dcp b1538 JW1531	Dipeptidyl carboxypeptidase (EC 3.4.15.5) (Peptidyl-dipeptidase Dcp)
P24177	acrD yffA b2470 JW2454	Probable aminoglycoside efflux pump (Acriflavine resistance protein D)
P24182	accC fabG b3256 JW3224	Biotin carboxylase (EC 6.3.4.14) (Acetyl-coenzyme A carboxylase biotin carboxylase subunit A)
P24183	fdnG b1474 JW1470	Formate dehydrogenase, nitrate-inducible, major subunit (EC 1.17.5.3) (Anaerobic formate dehydrogenase major subunit) (Formate dehydrogenase-N subunit alpha) (FDH-N subunit alpha)
P24186	folD ads b0529 JW0518	Bifunctional protein FolD [Includes: Methylenetetrahydrofolate dehydrogenase (EC 1.5.1.5); Methenyltetrahydrofolate cyclohydrolase (EC 3.5.4.9)]
P24188	trhO yceA b1055 JW1042	tRNA uridine(34) hydroxylase (EC 1.14.-.-) (ORF39.9) (tRNA hydroxylation protein O)
P24192	hypD b2729 JW2699	Hydrogenase maturation factor HypD (Hydrogenase isoenzymes formation protein HypD)
P24193	hypE b2730 JW2700	Carbamoyl dehydratase HypE (EC 4.2.1.-) (Hydrogenase maturation factor HypE)
P24203	yjiA b4352 JW5790	Zinc chaperone YjiA (EC 3.6.5.-) (GTP-binding protein YjiA)
P24207	pheP b0576 JW0565	Phenylalanine-specific permease (Phenylalanine:H(+) symporter PheP)
P24215	uxuA b4322 JW4285	Mannonate dehydratase (EC 4.2.1.8) (D-mannonate hydro-lyase)
P24224	acpS dpj b2563 JW2547	Holo-[acyl-carrier-protein] synthase (Holo-ACP synthase) (EC 2.7.8.7) (4'-phosphopantetheinyl transferase AcpS)
P24228	dacB b3182 JW3149	D-alanyl-D-alanine carboxypeptidase DacB (DD-carboxypeptidase) (DD-peptidase) (EC 3.4.16.4) (D-alanyl-D-alanine endopeptidase) (DD-endopeptidase) (EC 3.4.21.-) (Penicillin-binding protein 4) (PBP-4)
P24230	recG radC b3652 JW3627	ATP-dependent DNA helicase RecG (EC 3.6.4.12)
P24232	hmp fsrB hmpA b2552 JW2536	Flavohemoprotein (Flavohemoglobin) (HMP) (Hemoglobin-like protein) (Nitric oxide dioxygenase) (NO oxygenase) (NOD) (EC 1.14.12.17)
P24554	radA sms b4389 JW4352	DNA repair protein RadA (EC 3.6.4.-) (Branch migration protein RadA) (DNA repair protein Sms)
P25397	tehB b1430 JW1426	Tellurite methyltransferase (EC 2.1.1.265) (Chalcogen-detoxifying protein TehB) (Selenite methyltransferase) (Tellurite resistance protein TehB)
P25437	frmA adhC b0356 JW0347	S-(hydroxymethyl)glutathione dehydrogenase (EC 1.1.1.284) (Alcohol dehydrogenase class-3) (EC 1.1.1.1) (Alcohol dehydrogenase class-III) (Glutathione-dependent formaldehyde dehydrogenase) (FALDH) (FDH) (GSH-FDH) (EC 1.1.1.-)
P25516	acnA acn b1276 JW1268	Aconitate hydratase A (ACN) (Aconitase) (EC 4.2.1.3) (Iron-responsive protein-like) (IRP-like) (RNA-binding protein) (Stationary phase enzyme)
P25519	hflX b4173 JW4131	GTPase HflX (GTP-binding protein HflX)
P25522	mnmE thdF trmE b3706 JW3684	tRNA modification GTPase MnmE (EC 3.6.-.-)
P25524	codA b0337 JW0328	Cytosine deaminase (CD) (CDA) (CDase) (EC 3.5.4.1) (Cytosine aminohydrolase) (Isoguanine deaminase) (EC 3.5.4.-)
P25526	gabD b2661 JW2636	Succinate-semialdehyde dehydrogenase [NADP(+)] GabD (SSDH) (EC 1.2.1.79) (Glutarate-semialdehyde dehydrogenase) (EC 1.2.1.-)
P25527	gabP b2663 JW2638	Gamma-aminobutyric acid permease (GABA permease) (4-aminobutyrate carrier) (4-aminobutyrate permease) (Gamma-aminobutyrate permease)
P25534	ubiH visB b2907 JW2875	2-octaprenyl-6-methoxyphenol hydroxylase (EC 1.14.13.-)
P25535	ubiI visC b2906 JW2874	2-octaprenylphenol hydroxylase (EC 1.14.13.240) (2-polyprenylphenol 6-hydroxylase)
P25536	yhdE b3248 JW3217	dTTP/UTP pyrophosphatase (dTTPase/UTPase) (EC 3.6.1.9) (Nucleoside triphosphate pyrophosphatase) (Nucleotide pyrophosphatase) (Nucleotide PPase)
P25539	ribD ribG ybaE b0414 JW0404	Riboflavin biosynthesis protein RibD [Includes: Diaminohydroxyphosphoribosylaminopyrimidine deaminase (DRAP deaminase) (EC 3.5.4.26) (Riboflavin-specific deaminase); 5-amino-6-(5-phosphoribosylamino)uracil reductase (EC 1.1.1.193) (HTP reductase)]
P25552	gppA gpp b3779 JW5603	Guanosine-5'-triphosphate,3'-diphosphate pyrophosphatase (EC 3.6.1.40) (Guanosine pentaphosphate phosphohydrolase) (pppGpp-5'-phosphohydrolase)
P25553	aldA ald b1415 JW1412	Lactaldehyde dehydrogenase (EC 1.2.1.22) (Aldehyde dehydrogenase A) (Glycolaldehyde dehydrogenase) (EC 1.2.1.21)
P25665	metE b3829 JW3805	5-methyltetrahydropteroyltriglutamate--homocysteine methyltransferase (EC 2.1.1.14) (Cobalamin-independent methionine synthase) (Methionine synthase, vitamin-B12 independent isozyme)
P25714	yidC b3705 JW3683	Membrane protein insertase YidC (Foldase YidC) (Inner membrane protein YidC) (Membrane integrase YidC) (Oxa1Ec)
P25718	malS b3571 JW3543	Periplasmic alpha-amylase (EC 3.2.1.1) (1,4-alpha-D-glucan glucanohydrolase)
P25737	lysP cadR b2156 JW2143	Lysine-specific permease LysP (Lysine transporter LysP) (Trigger transporter LysP)
