	protein	gene
YP_004889170.1	Membrane sulfatase, alkaline phosphatase superfamily protein	lp_1283
YP_004889171.1	Transposase	ISP1_10 ISP1_1 ISP1_2 ISP1_3 ISP1_4 ISP1_7 ISP1_8 ISP1_9 lp_1064 lp_1288 lp_1463 lp_1537 lp_2164 lp_2617 lp_3036 lp_3308
YP_004889172.1	Purine/pyrimidine phosphoribosyltransferase (EC 2.4.2.-)	lp_1289
YP_004889173.1	Purine/pyrimidine permease	lp_1290
YP_004889174.1	SAM-dependent methyltransferase	lp_1291
YP_004889175.1	Acetyltransferase, GNAT family	lp_1292
YP_004889176.1	Metallo-phosphoesterase	lp_1293
YP_004889177.1	Manganese transport protein MntH, Nramp superfamily	mntH2 lp_1295
YP_004889178.1	Coproporphyrin III ferrochelatase (EC 4.99.1.9)	cpfC lp_1296
YP_004889179.1	S-methylmethionine transport protein	lp_1297
YP_004889180.1	Homocysteine S-methyltransferase (Cobalamin-dependent) (EC 2.1.1.10)	metH lp_1298
YP_004889181.1	Poly(Glycerol-phosphate) alpha-glucosyltransferase (EC 2.4.1.52)	tagE1 lp_1299
YP_004889182.1	Hypothetical membrane protein	lp_1300
YP_004889183.1	S-adenosylmethionine synthase (AdoMet synthase) (EC 2.5.1.6) (MAT) (Methionine adenosyltransferase)	metK lp_1301
YP_004889184.1	Methionine transport protein	lp_1302
YP_008479736.1	NA	NA
YP_004889186.1	Glycosyl transferase, group I	lp_1310
YP_004889187.1	Poly(Glycerol-phosphate) alpha-glucosyltransferase (EC 2.4.1.52)	tagE2 lp_1311
YP_004889188.1	Poly(Glycerol-phosphate) alpha-glucosyltransferase (EC 2.4.1.52)	tagE3 lp_1312
YP_004889189.1	Conserved domain protein	lp_1313
YP_004889190.1	Methyltransferase, SAM-dependent (EC 2.1.1.-)	lp_1314
YP_004889191.1	Membrane-associated phospholipid phosphatase	lp_1315
YP_004889192.1	Leucine--tRNA ligase (EC 6.1.1.4) (Leucyl-tRNA synthetase) (LeuRS)	leuS lp_1316
YP_004889193.1	Polysaccharide export protein	lp_1317
YP_004889194.1	Pseudouridine synthase (EC 5.4.99.-)	rsuA lp_1319
YP_004889195.1	ADP-dependent (S)-NAD(P)H-hydrate dehydratase (EC 4.2.1.136) (ADP-dependent NAD(P)HX dehydratase)	nnrD lp_1320
YP_004889196.1	Xaa-His dipeptidase (EC 3.4.13.-)	pepV lp_1321
YP_004889197.1	Nucleotide-binding protein, universal stress protein UspA family	lp_1322
YP_004889198.1	Glycerol-3-phosphate ABC transporter,ATP-binding protein	ugpC lp_1324
YP_004889199.1	Glycerol-3-phosphate ABC transporter, permease protein	ugpA lp_1325
YP_004889200.1	Glycerol-3-phosphate ABC transporter, permease protein	ugpE lp_1326
YP_004889201.1	Glycerol-3-phosphate ABC transporter, substrate binding protein	ugpB lp_1327
YP_004889202.1	Glycerophosphodiester phosphodiesterase (EC 3.1.4.46)	glpQ1 lp_1328
YP_004889203.1	Deoxynucleoside kinase (EC 2.7.1.-)	dgk2 lp_1329
YP_004889204.1	Large-conductance mechanosensitive channel	mscL lp_1330
YP_004889205.1	Hypothetical membrane protein	lp_1332
YP_004889206.1	Transposase	lp_1333
YP_004889207.1	ABC transporter, permease protein	lp_1334
YP_004889208.1	ABC transporter, ATP-binding protein	lp_1335
YP_004889209.1	Bifunctional protein: ABC transporter,ATP-binding protein transcription regulator, LytR family	lp_1336
YP_004889210.1	Peptide methionine sulfoxide reductase MsrA (Protein-methionine-S-oxide reductase) (EC 1.8.4.11) (Peptide-methionine (S)-S-oxide reductase) (Peptide Met(O) reductase)	mrsA1 msrA lp_1339
YP_004889211.1	Transcription regulator, MerR family	lp_1341
YP_004889212.1	Short-chain dehydrogenase/oxidoreductase,NAD(P)-dependent	lp_1342
YP_004889213.1	Transport protein, EamA family	lp_1343
YP_004889214.1	Aspartate-semialdehyde dehydrogenase (ASA dehydrogenase) (ASADH) (EC 1.2.1.11) (Aspartate-beta-semialdehyde dehydrogenase)	asd1 asd lp_1346
YP_004889215.1	Hydrolase_4 domain-containing protein	lp_1347
YP_004889216.1	Tautomerase family protein	lp_1348
YP_004889217.1	NADH:flavin oxidoreductase/NADH oxidase (EC 1.-.-.-)	lp_1350
YP_004889218.1	Thioredoxin-fold protein, DsbA family,FrnE-like subfamily	lp_1351
YP_004889219.1	Transcription regulator, MarR family	lp_1352
YP_004889220.1	Hydrolase, HAD superfamily, Cof family	lp_1353
YP_004889221.1	MmcB family DNA repair protein	lp_1354
YP_004889222.1	Peptide pheromone	pltA lp_1354a
YP_004889223.1	Two-component system histidine protein kinase sensor protein (EC 2.7.3.-)	pltK lp_1355
YP_004889224.1	Two-component system response regulator	pltR lp_1356
YP_004889225.1	Extracellular protein, membrane-anchored	lp_1357
YP_004889226.1	Hypothetical membrane protein	lp_1358
YP_004889227.1	Membrane-bound protease, CAAX family	lp_1359
YP_004889228.1	Transcription regulator, MarR family	lp_1360
YP_004889229.1	Pseudouridylate synthase	lp_1362
YP_004889230.1	Heavy metal-binding domain-containing protein	lp_1363
YP_004889231.1	Excinuclease ABC, subunit A	uvrA2 lp_1364
YP_004889232.1	Lipoprotein	lp_1369
YP_004889233.1	Phr family secreted Rap phosphatase inhibitor	lp_1370
YP_004889234.1	Extracellular protein, membrane-anchored	lp_1371
YP_004889235.1	Teichoic acid glycosylation protein	gtcA1 lp_1372
YP_004889236.1	UPF0344 protein lp_1373	lp_1373
YP_004889237.1	Methylenetetrahydrofolate reductase (NAD(P)H) (EC 1.5.1.20)	lp_1374
YP_004889238.1	5-methyltetrahydropteroyltriglutamate--homocysteine methyltransferase (EC 2.1.1.14) (Cobalamin-independent methionine synthase) (Methionine synthase, vitamin-B12 independent isozyme)	metE lp_1375
YP_004889239.1	Sulfotransferase family protein	lp_1377
YP_004889240.1	Sulfate adenylyltransferase (EC 2.7.7.4) (ATP-sulfurylase) (Sulfate adenylate transferase) (SAT)	sat lp_1378
YP_004889241.1	Adenylyl-sulfate kinase (EC 2.7.1.25) (APS kinase) (ATP adenosine-5'-phosphosulfate 3'-phosphotransferase) (Adenosine-5'-phosphosulfate kinase)	cysC lp_1379
YP_004889242.1	Phosphoesterase, DHH family	lp_1380
YP_004889243.1	Arylsulfate sulfotransferase (EC 2.8.2.22)	astA lp_1381
YP_004889244.1	Sodium/sulfate symport protein	lp_1385
YP_004889245.1	Na+ driven multidrug efflux protein, MATE family	lp_1386
YP_004889246.1	DUF2187 domain-containing protein	lp_1388
YP_004889247.1	Acetyltransferase, GNAT family	lp_1390
YP_004889248.1	Arginine--tRNA ligase (EC 6.1.1.19) (Arginyl-tRNA synthetase) (ArgRS)	argS lp_1391
YP_004889249.1	Uncharacterized protein	lp_1392
YP_004889250.1	ABC transporter, ATP-binding and permease protein	lp_1393
YP_004889253.1	Transcription regulator, LuxR family	lp_1396
YP_004889254.1	DUF3284 domain-containing protein	lp_1397
YP_004889255.1	PTS system, beta-glucosides-specific EIIA component (EC 2.7.1.69)	pts15A lp_1398
YP_004889256.1	PTS system, beta-glucosides-specific EIIB component (EC 2.7.1.69)	pts15B lp_1399
YP_004889257.1	Permease IIC component	pts15C lp_1400
YP_004889258.1	6-phospho-beta-glucosidase (EC 3.2.1.86)	pbg3 lp_1401
YP_004889259.1	Transport protein, major facilitator subfamily (MFS)	lp_1402
YP_004889260.1	Cell surface protein, ErfK family	lp_1403
YP_004889261.1	D-alanyl carrier protein 2 (DCP 2) (D-alanine--poly(phosphoribitol) ligase subunit 2-2)	dltC2 lp_1406
YP_004889262.1	Aminotransferase (PLP-dependent) with N-terminal regulator domain, GntR family (EC 2.6.1.5)	lp_1407
YP_004889263.1	Amino acid efflux protein	lp_1409
YP_004889264.1	Aminotransferase (EC 2.6.1.-)	arcT lp_1410
YP_004889265.1	Arginine regulator	argR1 lp_1411
YP_004889266.1	30S ribosomal protein S21	lp_1412
YP_004889267.1	Transpeptidase-transglycosylase (Penicillin binding protein 2A) (EC 2.4.1.129, EC 3.4.-.-)	pbp2A lp_1413
YP_004889268.1	UPF0342 protein lp_1415	lp_1415
YP_004889269.1	Phosphoesterase	lp_1416
YP_004889270.1	Hypothetical membrane protein	lp_1417
YP_004889271.1	Metal-dependent phosphohydrolase, HD family	lp_1418
YP_004889272.1	Immunity protein Imm6	lp_1419
YP_004889273.1	Carboxyterminal processing proteinase, S41 family, membrane-anchored	lp_1420
YP_004889274.1	Transcription regulator, LysR family	lp_1422
YP_004889275.1	NADPH-dependent FMN reductase family protein (EC 1.-.-.-)	lp_1424
YP_004889276.1	Urocanate reductase (EC 1.3.99.33)	urdA lp_1425
YP_004889277.1	N-acetylmuramoyl-L-alanine amidase	lp_1426
YP_004889278.1	Nucleoside 2-deoxyribosyltransferase (EC 2.4.2.6)	lp_1427
YP_004889279.1	Glycosyltransferase, family 2 (EC 2.4.1.-)	lp_1430
YP_004889280.1	Hypothetical membrane protein	lp_1431
YP_004889281.1	Phosphohydrolase, MutT/NudX family	lp_1433
YP_004889282.1	Hypothetical membrane protein	lp_1435
YP_004889283.1	Riboflavin synthase, alpha chain (EC 2.5.1.9)	ribB lp_1436
YP_004889284.1	GTP cyclohydrolase-2 (EC 3.5.4.25) (GTP cyclohydrolase II)	ribA lp_1437
YP_004889285.1	6,7-dimethyl-8-ribityllumazine synthase (DMRL synthase) (LS) (Lumazine synthase) (EC 2.5.1.78)	ribH lp_1438
YP_004889286.1	Nucleotidyltransferase superfamily protein	lp_1439
YP_004889287.1	Peptidyl-prolyl cis-trans isomerase	lp_1440
YP_004889288.1	Transcription regulator, Crp/FNR family	lp_1442
YP_004889289.1	Transcription regulator, TetR family	lp_1443
YP_004889290.1	NADH peroxidase (EC 1.11.1.1)	npr1 lp_1445
YP_004889291.1	Cell surface protein, CscB family	lp_1446
YP_004889292.1	Cell surface protein, CscD family,LPXTG-motif cell wall anchor	lp_1447
YP_004889293.1	Cell surface protein, DUF916/CscA family	lp_1448
YP_004889294.1	Cell surface protein, CscB family	lp_1449
YP_004889295.1	Cell surface protein, CscB family	lp_1450
YP_004889296.1	Foldase protein PrsA 1 (EC 5.2.1.8)	prsA1 prtM1 lp_1452
YP_004889297.1	Extracellular protein, membrane-anchored	lp_1453
YP_004889298.1	Nucleotide-binding protein, histidine triad family	lp_1454
YP_004889299.1	ABC transporter, ATP-binding protein	lp_1455
YP_004889300.1	ABC transporter, permease protein	lp_1456
YP_004889301.1	Aminoglycoside 3'-phosphotransferase	lp_1457
YP_004889302.1	tRNA (guanine-N(7)-)-methyltransferase (EC 2.1.1.33) (tRNA (guanine(46)-N(7))-methyltransferase) (tRNA(m7G46)-methyltransferase)	trmB lp_1458
YP_004889303.1	Extracellular protein, membrane-anchored	lp_1459
YP_004889304.1	tRNA binding domain protein	lp_1460
YP_004889305.1	DNA translocase FtsK	ftsK1 lp_1461
YP_004889306.1	UDP-N-acetylmuramate--L-alanine ligase (EC 6.3.2.8) (UDP-N-acetylmuramoyl-L-alanine synthetase)	murC lp_1462
YP_004889307.1	Transposase	ISP1_10 ISP1_1 ISP1_2 ISP1_3 ISP1_4 ISP1_7 ISP1_8 ISP1_9 lp_1064 lp_1288 lp_1463 lp_1537 lp_2164 lp_2617 lp_3036 lp_3308
YP_004889308.1	FeoB-associated Cys-rich membrane protein	lp_1465
YP_004889309.1	Ferrous iron transport protein B	feoB lp_1466
YP_004889310.1	Ferrous iron transport protein A	feoA lp_1467
YP_004889311.1	ABC transporter, ATP-binding protein,iron-sulfur cluster assembly ATPase protein SufC	sufC lp_1468
YP_004889312.1	ABC transporter, iron-sulfur cluster assembly protein SufD	sufD lp_1469
YP_004889313.1	Cysteine desulfurase (EC 2.8.1.7)	sufS lp_1470
YP_004889314.1	SUF system FeS assembly protein, NifU family	sufU lp_1471
YP_004889315.1	ABC transporter component, iron-sulfur cluster assembly protein SufB, iron regulated	sufB lp_1472
YP_004889316.1	Iron chelatin ABC transporter, substrate binding protein	fecB lp_1473
YP_004889317.1	Iron chelatin ABC transporter, ATP-binding protein	fecE lp_1475
YP_004889318.1	Iron chelatin ABC transporter, permease protein	fecD lp_1476
YP_004889319.1	Flavodoxin	lp_1477
YP_004889320.1	Molybdopterin converting factor, large subunit	moaE lp_1478
YP_004889321.1	Molybdopterin converting factor, small subunit	moaD lp_1479
YP_004889322.1	GTP 3',8-cyclase (EC 4.1.99.22) (Molybdenum cofactor biosynthesis protein A)	moaA lp_1480
YP_004889323.1	Nitrite extrusion protein	narK lp_1481
YP_004889324.1	FeS assembly SUF system protein, DUF59 family	lp_1482
YP_004889325.1	Transcription regulator, Xre family	lp_1483
YP_004889326.1	HDOD domain-containing protein	lp_1484
YP_004889327.1	DNA polymerase III subunit delta	lp_1485
YP_004889328.1	Mu-like prophage protein gp36	lp_1486
YP_004889329.1	Two-component system response regulator, LuxR family	rrp4 lp_1487
YP_004889330.1	Sensor histidine kinase (EC 2.7.13.3)	hpk4 lp_1488
YP_004889331.1	GAF domain-containing protein	lp_1489
YP_004889332.1	Phage protein	lp_1490
YP_004889333.1	Molybdopterin-guanine dinucleotide biosynthesis protein MobA	mobA lp_1491
YP_004889334.1	Cyclic pyranopterin monophosphate synthase (EC 4.6.1.17) (Molybdenum cofactor biosynthesis protein C)	moaC lp_1492
YP_004889335.1	Molybdopterin-guanine dinucleotide biosynthesis protein MobB	mobB lp_1493
YP_004889336.1	Molybdopterin molybdenumtransferase (EC 2.10.1.1)	moeA lp_1494
YP_004889337.1	Molybdenum cofactor biosynthesis protein B	moaB lp_1495
YP_004889338.1	Molybdopterin biosynthesis protein MoeB	moeB lp_1496
YP_004889339.1	Nitrate reductase (quinone) (EC 1.7.5.1)	narG lp_1497
YP_004889340.1	Nitrate reductase, beta chain (EC 1.7.99.4)	narH lp_1498
YP_004889341.1	Nitrate reductase, delta chain (EC 1.7.99.4)	narJ lp_1499
YP_004889342.1	Nitrate reductase, gamma chain (EC 1.7.99.4)	narI lp_1500
YP_004889343.1	Tail assembly chaperone	lp_1502
YP_004889344.1	DJ-1_PfpI domain-containing protein	lp_1503
YP_004889345.1	Hypothetical membrane protein	lp_1505
YP_004889346.1	Transcription regulator, Cro/CI family	lp_1506
YP_004889347.1	Hypothetical membrane protein	lp_1507
YP_004889348.1	DNA polymerase I (EC 2.7.7.7)	polA lp_1508
YP_004889349.1	Formamidopyrimidine-DNA glycosylase (Fapy-DNA glycosylase) (EC 3.2.2.23) (DNA-(apurinic or apyrimidinic site) lyase MutM) (AP lyase MutM) (EC 4.2.99.18)	mutM fpg lp_1509
YP_004889350.1	Dephospho-CoA kinase (EC 2.7.1.24) (Dephosphocoenzyme A kinase)	coaE lp_1510
YP_004889351.1	Transcriptional repressor NrdR	nrdR lp_1511
YP_004889352.1	Replication initiation and membrane attachment protein DnaB	dnaB lp_1512
YP_004889353.1	Primosomal protein DnaI	dnaI lp_1513
YP_004889354.1	Threonine--tRNA ligase (EC 6.1.1.3) (Threonyl-tRNA synthetase) (ThrRS)	thrS lp_1514
YP_004889355.1	Translation initiation factor IF-3	infC lp_1515
YP_004889356.1	50S ribosomal protein L35	rpmI lp_1516
YP_004889357.1	50S ribosomal protein L20	rplT lp_1517
YP_004889358.1	Phage protein	lp_1518
YP_004889359.1	ATPase, AAA family	lp_1519
YP_004889360.1	Zinc-type alcohol dehydrogenase-like protein	lp_1521
YP_004889361.1	Transcription regulator, MarR family	lp_1522
YP_004889362.1	Aspartate racemase (EC 5.1.1.13)	racD lp_1523
YP_004889363.1	Glycosyltransferase, family 2	ica1 lp_1524
YP_004889364.1	Hypothetical membrane protein	lp_1525
YP_004889365.1	Hydrolase, HAD superfamily	lp_1527
YP_004889366.1	Ribosome biogenesis GTPase, YqeH family	lp_1528
YP_004889367.1	RNA binding protein, YhbY family	lp_1529
YP_004889368.1	Probable nicotinate-nucleotide adenylyltransferase (EC 2.7.7.18) (Deamido-NAD(+) diphosphorylase) (Deamido-NAD(+) pyrophosphorylase) (Nicotinate mononucleotide adenylyltransferase) (NaMN adenylyltransferase)	nadD lp_1530
YP_004889369.1	Bis(5'-nucleosyl)-tetraphosphatase (symmetrical) (EC 3.6.1.41)	lp_1531
YP_004889370.1	Ribosomal silencing factor RsfS	rsfS lp_1532
YP_004889371.1	Methyltransferase (EC 2.1.1.-)	lp_1533
YP_004889372.1	tRNA(Met) cytidine acetate ligase (EC 6.3.4.-)	tmcAL lp_1534
YP_004889373.1	DUF177 domain-containing protein	lp_1535
YP_004889374.1	50S ribosomal protein L32	rpmF lp_1535.1 lp_1535A
YP_004889375.1	Transposase	ISP1_10 ISP1_1 ISP1_2 ISP1_3 ISP1_4 ISP1_7 ISP1_8 ISP1_9 lp_1064 lp_1288 lp_1463 lp_1537 lp_2164 lp_2617 lp_3036 lp_3308
YP_004889376.1	Lipoprotein	lp_1539
YP_004889377.1	Cobalt-zinc-cadmium cation transport protein	czcD lp_1540
YP_004889378.1	6-phosphogluconate dehydrogenase, decarboxylating (EC 1.1.1.44)	gnd2 lp_1541
YP_004889379.1	Recombination factor protein RarA ATPase, AAA family	rarA lp_1543
YP_004889380.1	Two-component system response regulator (EC 2.7.3.-)	rrp5 lp_1544
YP_004889381.1	Signal transduction histidine-protein kinase ArlS (EC 2.7.13.3)	hpk5 lp_1545
YP_004889382.1	1,4-dihydroxy-2-naphthoate octaprenyltransferase, UbiA family (EC 2.5.1.-)	lp_1546
YP_004889383.1	Exonuclease SbcC	sbcC lp_1548
YP_004889384.1	Nuclease SbcCD subunit D	sbcD lp_1549
YP_004889385.1	Hypothetical membrane protein	lp_1552
YP_004889386.1	Membrane protein insertase YidC 1 (Foldase YidC 1) (Membrane integrase YidC 1) (Membrane protein YidC 1)	yidC1 lp_1553
YP_004889387.1	Acylphosphatase (EC 3.6.1.7) (Acylphosphate phosphohydrolase)	acyP lp_1554
YP_004889388.1	rRNA methylase, SpoU family (EC 2.1.1.-)	lp_1555
YP_004889389.1	Metal-dependent phosphohydrolase, HD family	lp_1556
YP_004889390.1	Transcription regulator, MarR family	lp_1557
YP_004889391.1	Phenylalanine--tRNA ligase alpha subunit (EC 6.1.1.20) (Phenylalanyl-tRNA synthetase alpha subunit) (PheRS)	pheS lp_1558
YP_004889392.1	Phenylalanine--tRNA ligase beta subunit (EC 6.1.1.20) (Phenylalanyl-tRNA synthetase beta subunit) (PheRS)	pheT lp_1559
YP_004889393.1	Endolytic murein transglycosylase (EC 4.2.2.-) (Peptidoglycan polymerization terminase)	mltG lp_1561
YP_004889394.1	Uridine kinase (EC 2.7.1.48) (Cytidine monophosphokinase) (Uridine monophosphokinase)	udk lp_1562
YP_004889395.1	Transcription elongation factor GreA 2 (Transcript cleavage factor GreA 2)	greA2 lp_1563
YP_004889396.1	Hypothetical membrane protein	lp_1564
YP_004889397.1	Transcription regulator, LytTr family	lp_1565
YP_004889398.1	Iron-sulfur cluster biosynthesis protein	lp_1566
YP_004889399.1	Hypothetical membrane protein	lp_1567
YP_004889400.1	Transpeptidase (Penicillin binding protein 2B) (EC 2.4.1.129)	pbp2x lp_1568
YP_004889401.1	50S ribosomal protein L33	rpmG lp_1569
YP_004889402.1	5-formyltetrahydrofolate cyclo-ligase (EC 6.3.3.2)	fthC lp_1570
YP_004889403.1	Membrane-bound protease, rhomboid family (EC 3.2.1.-)	lp_1571
YP_004889404.1	DUF910 family protein	lp_1572
YP_004889405.1	Glucokinase (EC 2.7.1.2) (Glucose kinase)	lp_1573
YP_004889406.1	Dipeptidase (EC 3.4.11.2)	pepE lp_1574
YP_004889407.1	Rhodanese family protein	lp_1576
YP_004889408.1	Hypothetical extracellular protein	lp_1577
YP_004889409.1	Glycerophosphodiester phosphodiesterase (EC 3.1.4.46)	glpQ2 lp_1578
YP_004889410.1	tRNA dimethylallyltransferase (EC 2.5.1.75) (Dimethylallyl diphosphate:tRNA dimethylallyltransferase) (DMAPP:tRNA dimethylallyltransferase) (DMATase) (Isopentenyl-diphosphate:tRNA isopentenyltransferase) (IPP transferase) (IPPT) (IPTase)	miaA lp_1579
YP_004889411.1	Glutamine synthetase repressor, MerR family	glnR lp_1580
YP_004889412.1	Glutamine synthetase (EC 6.3.1.2)	glnA lp_1581
YP_004889413.1	Exonuclease SbcC	lp_1583
YP_004889414.1	Abortive phage resistance protein	lp_1584
YP_004889415.1	2-deoxyuridine 5-triphosphate nucleotidohydrolase (dUTPase) (EC 3.6.1.23)	lp_1585
YP_004889416.1	DUF1488 domain-containing protein	lp_1586
YP_004889417.1	Transcriptional regulator	lp_1587
YP_004889418.2	NA	NA
YP_004889419.1	Transcription regulator, TetR family	lp_1591
YP_004889420.1	50S ribosomal protein L21	rplU lp_1592
YP_004889421.1	Ribosomal protein, DUF464 family	lp_1593
YP_004889422.1	50S ribosomal protein L27	rpmA lp_1594
YP_004889423.1	Xaa-Pro aminopeptidase (EC 3.4.11.9)	pepP lp_1595
YP_004889424.1	Elongation factor P (EF-P)	efp lp_1596
YP_004889425.1	General stress protein, Gls24 family	lp_1597
YP_004889426.1	Transcription antitermination protein NusB (Antitermination factor NusB)	nusB lp_1598
YP_004889427.1	Bifunctional protein FolD [Includes: Methylenetetrahydrofolate dehydrogenase (EC 1.5.1.5); Methenyltetrahydrofolate cyclohydrolase (EC 3.5.4.9)]	folD lp_1599
YP_004889428.1	Exodeoxyribonuclease 7 large subunit (EC 3.1.11.6) (Exodeoxyribonuclease VII large subunit) (Exonuclease VII large subunit)	xseA lp_1600
YP_004889429.1	Exodeoxyribonuclease 7 small subunit (EC 3.1.11.6) (Exodeoxyribonuclease VII small subunit) (Exonuclease VII small subunit)	xseB lp_1601
YP_004889430.1	Polyprenyl synthetase (EC 2.5.1.-)	lp_1602
YP_004889431.1	rRNA methylase	lp_1603
YP_004889432.1	Arginine repressor	argR2 lp_1604
YP_004889433.1	DNA repair protein RecN (Recombination protein N)	recN lp_1605
YP_004889434.1	Glycine betaine/carnitine/choline ABC transporter, ATP-binding protein	opuA lp_1607
YP_004889435.1	Glycine betaine/carnitine/choline ABC transporter, permease protein	opuB lp_1608
YP_004889436.1	Glycine betaine/carnitine/choline ABC transporter, substrate binding protein	opuC lp_1609
YP_004889437.1	Glycine betaine/carnitine/choline ABC transporter, permease protein	opuD lp_1610
YP_004889438.1	DNA replication complex GINS protein PSF1	lp_1611
